continent,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Americas,2020-01-01,1026788511,2.2416556151323253,2.2416556151323253,2.2416556151323253,2.2416556151323253,-2.415746355062523,-9.036871130402911,-9.036871130402911,0,0,0
Asia,2020-01-01,4679006159,-634.4505461142829,-356.1920147003314,-356.1920147003314,-634.4505461142829,-1228.3993340140194,-1352.2114641698201,-1352.2114641698201,-51455.88887799316,-1008.938997607709,0
Africa,2020-01-01,1371693397,205.28051560060206,245.63063258668467,245.63063258668467,206.85529827416244,70.04831310272873,-196.87635300317208,-196.87635300317208,0,0,0
Europe,2020-01-01,747993718,-0.1632276364852195,0.10735124592381011,0.10735124592381011,0.028550379501870025,-0.1632276364852195,-0.1632276364852195,-0.1632276364852195,0,0,0
Oceania,2020-01-01,43202462,-3.376980017199283,9.260141187789216,9.260141187789216,3.5342191863001857,-3.376980017199283,-18.796337599258226,-18.796337599258226,0,0,0
Americas,2020-01-06,1026788511,2.2141687285704656,11.097700799341247,11.097700799341247,5.206222562015791,-0.11686335501290149,-5.01985917146899,-5.01985917146899,0,0,0
Asia,2020-01-06,4679006159,-636.4203864632448,-346.70882225337647,-346.70882225337647,-636.4203864632448,-1233.1293461684254,-1351.9314312443512,-1351.9314312443512,-51455.88887799316,-1008.938997607709,0
Africa,2020-01-06,1371693397,204.3137853500033,248.2187793719383,248.2187793719383,212.50514367165954,64.62419910086608,-193.78857113974985,-193.78857113974985,0,0,0
Europe,2020-01-06,747993718,-0.1632276364852195,0.10735124592381011,0.10735124592381011,0.028550379501870025,-0.1632276364852195,-0.1632276364852195,-0.1632276364852195,0,0,0
Oceania,2020-01-06,43202462,-3.376980017199283,9.370072594913978,9.370072594913978,3.563126536334888,-3.376980017199283,-18.80498253983127,-18.80498253983127,0,0,0
Americas,2020-01-13,1026788511,9.424231132606526,19.83184730756903,19.83184730756903,10.152040487622155,0.6789298458260689,-11.32932162921543,-11.32932162921543,0,0,0
Asia,2020-01-13,4679006159,-905.962044086633,-603.0825587741908,-603.0825587741908,-905.962044086633,-1440.919743548407,-1602.798343500029,-1602.798343500029,-64101.59927249069,-1256.8941033821704,0
Africa,2020-01-13,1371693397,203.57839393890978,246.51656071033082,246.51656071033082,203.57839393890978,65.7332301078705,-182.6274310381521,-182.6274310381521,0,0,0
Europe,2020-01-13,747993718,-0.1632276364852195,0.10735124592381011,0.10735124592381011,0.028550379501870025,-0.1632276364852195,-0.1632276364852195,-0.1632276364852195,0,0,0
Oceania,2020-01-13,43202462,-3.3757888419692135,9.240712641689198,9.240712641689198,2.5864818961129505,-3.3757888419692135,-18.80967698970483,-18.80967698970483,0,0,0
Americas,2020-01-20,1026788511,2.222527104779436,7.982293376054892,7.982293376054892,3.517015629670538,-0.9900791824294083,-6.484963493186483,-6.484963493186483,0,0,0
Asia,2020-01-20,4679006159,-1172.4012069270748,-757.6023154857098,-757.6023154857098,-1131.5733109601856,-1734.2299677583355,-2018.3963465250404,-2018.3963465250404,-79193.31596759985,-1552.8101170117616,0
Africa,2020-01-20,1371693397,-110.2326459759317,346.81491333320724,346.81491333320724,157.72029066757997,-110.2326459759317,-293.3903547305316,-293.3903547305316,0,0,0
Europe,2020-01-20,747993718,-0.2013296301884701,0.019110702310979933,0.019110702310979933,-0.08020003816452,-0.21335667914496004,-0.2720291386199714,-0.2720291386199714,0,0,0
Oceania,2020-01-20,43202462,-7.3837241982647654,5.433424714337291,5.433424714337291,2.3275277735962834,-7.3837241982647654,-18.5940484368523,-18.5940484368523,0,0,0
Americas,2020-01-27,1026788511,-219.6743326561474,-214.46613213936342,-214.46613213936342,-218.9891749468316,-226.73795200509846,-234.72312712985592,-234.72312712985592,-10651.267298536857,-221.90140205285118,0
Asia,2020-01-27,4679006159,-473.33464361248167,281.93474218495413,281.93474218495413,-202.0446965265968,-1272.6818731449314,-1780.2571473815826,-1780.2571473815826,-44841.45741603626,-879.2442630595345,0
Africa,2020-01-27,1371693397,158.43317150614777,337.1018006683348,337.1018006683348,279.8135566719523,-109.27539015381345,-296.0020457426023,-296.0020457426023,-1598.7033913298271,-29.067334387815038,0
Europe,2020-01-27,747993718,-888.4149798517807,-888.3752721549645,-888.3752721549645,-888.4149798517807,-888.791334325913,-889.1248769311258,-889.1248769311258,-43519.445781424554,-888.1519547229501,0
Oceania,2020-01-27,43202462,-24.865011986557658,-14.359721526652363,-14.359721526652363,-16.571479518912692,-24.865011986557658,-32.38867968347832,-32.38867968347832,-293.19589023483184,-13.961709058801517,0
Americas,2020-02-03,1026788511,-48.542285283747255,-43.38219702919955,-43.38219702919955,-45.56641667640735,-56.082873939348325,-59.895953754595205,-59.895953754595205,-2284.24813438793,-47.58850279974854,0
Asia,2020-02-03,4679006159,968.6614846100972,2094.131412879715,2094.131412879715,1390.3249803722879,166.19317958290372,-502.2574961888098,-502.2574961888098,33960.5771635504,665.8936698735372,49
Africa,2020-02-03,1371693397,316.373555670126,598.8713740807877,598.8713740807877,449.1036330780334,201.16047718294752,-236.1648786858121,-236.1648786858121,4691.49386488167,85.299888452394,0
Europe,2020-02-03,747993718,-1008.4486016329704,-1008.3584092422407,-1008.3584092422407,-1008.4486016329704,-1008.7849434351325,-1009.0250173221465,-1009.0250173221465,-49401.300411567565,-1008.1898043177054,0
Oceania,2020-02-03,43202462,-18.818916702557754,-8.270917836146939,-8.270917836146939,-13.744190266881693,-21.596545706810904,-31.202740214330873,-31.202740214330873,-278.88865997899023,-13.280412379951917,0
Americas,2020-02-10,1026788511,-117.79245674391909,-106.70842897209663,-106.70842897209663,-113.65128197966827,-127.44806276356842,-138.81719094752714,-138.81719094752714,-5693.276705816395,-118.60993137117491,0
Asia,2020-02-10,4679006159,-436.22592762386904,403.4438110161673,403.4438110161673,-3.2868200943075716,-1529.3703891621722,-2454.6094549412137,-2454.6094549412137,-45794.14466344509,-897.9244051655901,83.857
Africa,2020-02-10,1371693397,42.24237228616034,521.5845402805012,521.5845402805012,264.72511675758983,-128.30524761672362,-416.39629050309026,-416.39629050309026,1340.422436310287,24.371317023823398,0
Europe,2020-02-10,747993718,-890.2803572166147,-890.2185774319553,-890.2185774319553,-890.2803572166147,-890.5041342387901,-890.6198652293432,-890.6198652293432,-43608.800411567834,-889.9755186034253,0
Oceania,2020-02-10,43202462,-5.231341164441953,10.209055201654351,10.209055201654351,4.026100321062676,-7.22874051212669,-17.634996354497805,-17.634996354497805,38.36134002100829,1.8267304771908708,0
Americas,2020-02-17,1026788511,-61.6814234876513,-52.372479096715345,-52.372479096715345,-59.17003002414164,-73.39174382354942,-79.6741635862479,-79.6741635862479,-3057.6195629586587,-63.70040756163872,0
Asia,2020-02-17,4679006159,-1070.4837145205975,-59.97140356658874,-59.97140356658874,-704.0918180080265,-2244.7314256802697,-2925.1930934094075,-2925.1930934094075,-84826.45130406898,-1663.263751060176,122
Africa,2020-02-17,1371693397,34.61281972080216,621.3217942109345,621.3217942109345,435.12209180767474,-65.88096874101512,-331.72651779122936,-331.72651779122936,1353.5176744055216,24.609412261918575,0
