continent,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Americas,2020-01-01,1026782740,-10.562773240394227,54.456900515952356,51.252421122285966,26.80806647335125,-17.251261240002513,-40.64811153877701,-56.74455836168415,0,0,0
Asia,2020-01-01,4679006159,-2859.9485563735466,-1265.9890690233287,-1673.1889144579454,-2859.9485563735466,-6920.2127309992375,-8957.395558798751,-9746.990250271474,-360191.2221459521,-7062.572983253963,0
Africa,2020-01-01,1371693397,3543.135034193894,3543.135034193894,3543.135034193894,3543.135034193894,-198.1008169924398,-1471.8199953012154,-1741.6942996040184,0,0,0
Europe,2020-01-01,748121993,-1.0870089444602484,1.9274481904211118,0.6387661010371238,-0.016637946443584028,-1.0870089444602484,-1.1979274319483115,-1.3264441629810033,0,0,0
Oceania,2020-01-01,43198762,2.981896762894388,76.81255536082429,63.77352187860094,14.712537510623314,-15.271661366607054,-34.929183275915655,-37.4536044639646,0,0,0
Americas,2020-01-06,1026782740,3.869920870181817,204.72884803857588,179.58136833989755,96.24487667084057,-14.32382921870063,-78.8973252376517,-87.98149887440127,0,0,0
Asia,2020-01-06,4679006159,-5717.85263833204,-3047.8481853983767,-4330.309280022742,-5717.85263833204,-13927.31510068266,-17866.475627405955,-19423.183384007694,-720382.4442919042,-14125.145966507926,0
Africa,2020-01-06,1371693397,7086.244712429194,7086.244712429194,7086.244712429194,7086.244712429194,-623.3866585697417,-2939.832922299437,-3486.942393671421,0,0,0
Europe,2020-01-06,748121993,-2.174017888920497,3.8548963808422236,1.2775322020742477,-0.033275892887168056,-2.174017888920497,-2.395854863896623,-2.6528883259620066,0,0,0
Oceania,2020-01-06,43198762,5.963793525788776,159.86649157384431,127.57552166305877,29.400936958709444,-24.32490738820963,-60.920775840847746,-67.65392288967402,0,0,0
Americas,2020-01-13,1026782740,51.96003026823789,536.3264005002683,507.55113981354947,295.40402210446234,21.509607972661037,-116.8881267811224,-174.99433638670934,0,0,0
Asia,2020-01-13,4679006159,-11182.326048699717,-6499.610265308903,-8284.329517448321,-11182.326048699717,-22775.018524224106,-28553.598274641325,-30840.793690934326,-1169093.639199339,-22923.404690183117,0
Africa,2020-01-13,1371693397,10650.954675333072,10650.954675333072,10650.954675333072,10650.954675333072,-959.8458529098397,-4416.738412209855,-5281.084541695787,0,0,0
Europe,2020-01-13,748121993,-3.261026833380745,5.7823445712633355,1.9162983031113714,-0.04991383933075208,-3.261026833380745,-3.5937822958449344,-3.97933248894301,0,0,0
Oceania,2020-01-13,43198762,9.080154850866375,245.95343547698508,191.45015387921578,47.30732941782614,-35.95713744027427,-91.30802554876226,-108.66759709768147,0,0,0
Americas,2020-01-20,1026782740,63.89384732638896,632.9105174810127,574.7265812231848,347.0668274229046,27.980813941116608,-167.68506981463148,-226.94013032839487,0,0,0
Asia,2020-01-20,4679006159,-19180.0455342534,-12078.375234060048,-13642.43508355182,-19180.0455342534,-33369.30548824687,-43740.69275591053,-45103.87539294568,-1723446.8509725379,-33793.07550926545,0
Africa,2020-01-20,1371693397,14463.716915303396,14463.716915303396,14463.716915303396,14463.716915303396,-1475.323422559274,-5965.730706975048,-7009.8924369416,0,0,0
Europe,2020-01-20,748121993,-5.065867625600246,7.232878712704898,2.1099210936665043,-0.5487000037470138,-5.065867625600246,-5.395708615842933,-5.753159369756624,0,0,0
Oceania,2020-01-20,43198762,13.429773271922159,313.0309606949776,248.45582381741696,63.03913815435096,-45.748210496931414,-120.37924889483537,-144.76772276555874,0,0,0
Americas,2020-01-27,1026782740,-1483.8356107373118,-794.8442030531662,-879.1723773298343,-1162.064399158485,-1541.9114806034404,-1777.442218076995,-1833.8734717852417,-73365.40444553865,-1560.9660520327373,0
Asia,2020-01-27,4679006159,-22915.614347216542,-9189.6474867217,-12781.841896742788,-22915.614347216542,-40209.145282949554,-53574.18309172503,-55394.8994516263,-2044413.7474893157,-40086.54406841795,0
Africa,2020-01-27,1371693397,18133.453267892615,18133.453267892615,18133.453267892615,18133.453267892615,-1866.9095870355275,-8333.764155560768,-9002.016296338776,-9026.995559541941,-164.12719199167165,0
Europe,2020-01-27,748121993,-6227.731321984219,-6211.183039660736,-6217.343401390008,-6223.07472585032,-6227.937684921055,-6230.704712781398,-6230.974085119646,-304804.3138329678,-6220.496200672813,0
Oceania,2020-01-27,43198762,-21.93778922722921,314.88541210664414,253.66022801158604,53.863178008093335,-98.39978482408823,-173.27212282983328,-207.09238376002645,-234.43387209392276,-11.163517718758227,0
Americas,2020-02-03,1026782740,-1820.9089118104548,-1063.3793953736927,-1113.0368546277398,-1461.774824827666,-1915.5813816887492,-2175.6214205585907,-2283.3562317658907,-89515.1602259038,-1904.5778771468895,0
Asia,2020-02-03,4679006159,-15488.441301861403,4014.5363753406345,1639.0027217112902,-14029.879757454115,-36022.52264839614,-55449.995020011054,-58237.711868027676,-1811209.7792292985,-35513.917239790164,343
Africa,2020-02-03,1371693397,22684.780694723682,22684.780694723682,22684.780694723682,22684.780694723682,-1325.4796351144869,-9479.908986881313,-10110.521195078549,27619.833037386215,502.17878249793114,0
Europe,2020-02-03,748121993,-13286.346688111065,-13264.463834192406,-13271.647097653424,-13281.285316113534,-13288.212627312148,-13292.15134222553,-13293.138574501138,-650557.1402956983,-13276.676332565272,0
Oceania,2020-02-03,43198762,-51.61034468797063,364.0952042481148,223.48042755589663,56.80018776395715,-149.51646059784602,-232.16294209571757,-254.80656909119966,-407.5671323969698,-19.40795868556999,0
Americas,2020-02-10,1026782740,-2582.914974489045,-1683.1543053758871,-1834.7284856491144,-2245.902688574754,-2813.7106718504756,-3135.1955534664053,-3179.749949593261,-128983.96600626734,-2744.339702261007,0
Asia,2020-02-10,4679006159,-18143.288834150364,8848.973202605213,3112.74742028399,-15633.518029173709,-45395.11276173086,-64714.39213948457,-70919.89095543876,-2136331.3637582497,-41888.8502697696,929.999
