continent,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Americas,2020-01-01,1026788511,1.5355543487474552e-4,3.9063187397481684e-4,1.5355543487474552e-4,1.5355543487474552e-4,-4.4166669722209284e-4,-4.4166669722209284e-4,-4.4166669722209284e-4,0,0,0
Asia,2020-01-01,4679006159,-0.007831672663481547,-0.007831672663481547,-0.007831672663481547,-0.007831672663481547,-0.023146578592525027,-0.023940970050062595,-0.025862756591754615,-1.099718340379153,-0.021563104713316728,0
Africa,2020-01-01,1371693397,0.024742830432982716,0.024742830432982716,0.024742830432982716,0.024742830432982716,0.009370970899844712,-5.106434125225948e-4,-0.015532650804515406,0,0,0
Europe,2020-01-01,747993718,-1.9961909067400123e-5,4.840841183977719e-6,-7.809550993916273e-7,-5.212045469383263e-6,-1.9961909067400123e-5,-1.9961909067400123e-5,-1.9961909067400123e-5,0,0,0
Oceania,2020-01-01,43202462,-0.005509252664872568,0.0036336060315684364,-0.003710074200165094,-0.003710074200165094,-0.005509252664872568,-0.005509252664872568,-0.013805098593341638,0,0,0
Americas,2020-01-06,1026788511,1.222078239306805e-4,4.1964744484292724e-4,1.222078239306805e-4,1.222078239306805e-4,-3.7978623962024374e-4,-3.7978623962024374e-4,-3.7978623962024374e-4,0,0,0
Asia,2020-01-06,4679006159,-0.007252561378900301,-0.007252561378900301,-0.007252561378900301,-0.007252561378900301,-0.022975300326082616,-0.023865213812322247,-0.02564402467982335,-1.099718340379153,-0.021563104713316728,0
Africa,2020-01-06,1371693397,0.024733972406262163,0.024733972406262163,0.024733972406262163,0.024733972406262163,0.010119901480104086,-0.0012072164708390874,-0.015465360404578259,0,0,0
Europe,2020-01-06,747993718,-1.9961909067400123e-5,4.840841183977719e-6,-7.809550993916273e-7,-5.212045469383263e-6,-1.9961909067400123e-5,-1.9961909067400123e-5,-1.9961909067400123e-5,0,0,0
Oceania,2020-01-06,43202462,-0.005512150809619689,0.003416837505156491,-0.0043943833023313995,-0.004696724030426808,-0.005512150809619689,-0.005512150809619689,-0.013356428590312601,0,0,0
Americas,2020-01-13,1026788511,5.979038974813772e-4,0.001040628487621493,5.979038974813772e-4,5.979038974813772e-4,4.342356661040675e-4,4.342356661040675e-4,2.6558491862743874e-4,0,0,0
Asia,2020-01-13,4679006159,-0.0125595089556112,-0.0125595089556112,-0.0125595089556112,-0.0125595089556112,-0.028655721464629233,-0.028655721464629233,-0.030542436370503315,-1.3699832206715994,-0.026862416091599988,0
Africa,2020-01-13,1371693397,0.024708894864099173,0.024708894864099173,0.024708894864099173,0.024708894864099173,0.009151565279490303,-6.624819540791247e-4,-0.019245370857389955,0,0,0
Europe,2020-01-13,747993718,-1.9961909067400123e-5,4.840841183977719e-6,-1.2535983039499598e-6,-5.212045469383263e-6,-1.9961909067400123e-5,-1.9961909067400123e-5,-1.9961909067400123e-5,0,0,0
Oceania,2020-01-13,43202462,-0.005655006916211148,0.00507950975051396,-0.004243633979529402,-0.00448132719263201,-0.005655006916211148,-0.005655006916211148,-0.013630606219171296,0,0,0
Americas,2020-01-20,1026788511,1.6720295132629988e-4,3.0626081280229133e-4,1.6720295132629988e-4,1.6720295132629988e-4,-3.125591312531153e-4,-3.125591312531153e-4,-3.125591312531153e-4,0,0,0
Asia,2020-01-20,4679006159,-0.0187820142189692,-0.0187820142189692,-0.0187820142189692,-0.0187820142189692,-0.03381236841630505,-0.03541840980110291,-0.03864959963547733,-1.6925242941874026,-0.03318675086641966,0
Africa,2020-01-20,1371693397,0.024829856759170685,0.024829856759170685,0.024829856759170685,0.024829856759170685,0.00848066485595419,0.002124736704736015,-0.011256010893924213,0,0,0
Europe,2020-01-20,747993718,-2.4802116451134184e-5,-1.6224781715226156e-6,-1.6224781715226156e-6,-1.6224781715226156e-6,-2.4802116451134184e-5,-2.4802116451134184e-5,-2.5678951512956412e-5,0,0,0
Oceania,2020-01-20,43202462,-0.012901141892698986,0.0015970061290852297,-0.003987394318357323,-0.005672073390557071,-0.012901141892698986,-0.012901141892698986,-0.014458308133882812,0,0,0
Americas,2020-01-27,1026788511,-0.027383191392151215,-0.027383191392151215,-0.027383191392151215,-0.027383191392151215,-0.028145644165844173,-0.028145644165844173,-0.028145644165844173,-1.33106946906575,-0.027730613938869796,0
Asia,2020-01-27,4679006159,-0.0038672644030822434,-6.723471680773965e-4,-6.723471680773965e-4,-6.723471680773965e-4,-0.0038672644030822434,-0.02138215153668427,-0.03065698474894938,-0.9583543148321011,-0.01879126107513924,0
Africa,2020-01-27,1371693397,0.022842031645626957,0.022842031645626957,0.022842031645626957,0.022842031645626957,0.011758439213356314,-6.220629706679308e-4,-0.017055109278473507,-0.11405383156144784,-0.0020737060283899608,0
Europe,2020-01-27,747993718,-0.1187077349549423,-0.1186956884960042,-0.1186956884960042,-0.1186956884960042,-0.1187077349549423,-0.11872264337608385,-0.11875039545486026,-5.8148776109389395,-0.1186709716518151,0
Oceania,2020-01-27,43202462,-0.05485991808624341,-0.04087805708812892,-0.0494189302098119,-0.0494189302098119,-0.05485991808624341,-0.05485991808624341,-0.055989845813498695,-0.6786555132779976,-0.03231692920371417,0
Americas,2020-02-03,1026788511,-0.007726062857784136,-0.007726062857784136,-0.007726062857784136,-0.007726062857784136,-0.008180786633131154,-0.00852155328688306,-0.009188448465871437,-0.37567542229626383,-0.00782657129783883,0
Asia,2020-02-03,4679006159,0.02716945594093283,0.03320300515024284,0.02716945594093283,0.02716945594093283,0.019748022331181815,0.018460718169439526,-0.006110073636673434,0.725807490084785,0.014231519413427153,0.0010472309361198257
Africa,2020-02-03,1371693397,0.03362447765798969,0.03362447765798969,0.03362447765798969,0.03362447765798969,0.019154605293231666,0.0039032695223434155,-0.013641960648080398,0.34451783394111235,0.006263960617111134,0
Europe,2020-02-03,747993718,-0.1347526060454466,-0.1347388570119329,-0.1347399798037409,-0.1347399798037409,-0.1347526060454466,-0.13477563669002168,-0.1348092504857649,-6.601228416914969,-0.13471894728397898,0
Oceania,2020-02-03,43202462,-0.04635167600782737,-0.033777518702720756,-0.04635167600782737,-0.04635167600782737,-0.04644911575981933,-0.047588031212750286,-0.053115103994862585,-0.6455388120681415,-0.030739943431816262,0
Americas,2020-02-10,1026788511,-0.019861586685460623,-0.019775348336805096,-0.019861586685460623,-0.019861586685460623,-0.019956810755592726,-0.02045921094480877,-0.021472550327004847,-0.9605670465851864,-0.020011813470524716,0
Asia,2020-02-10,4679006159,-0.004226198184050986,-6.275935602333815e-4,-0.004226198184050986,-0.004226198184050986,-0.016413859454763514,-0.016413859454763514,-0.04092702337905968,-0.9787152037695168,-0.019190494191559153,0.0017921968287795964
Africa,2020-02-10,1371693397,0.013224137229485839,0.019636589751584044,0.019636589751584044,0.019636589751584044,0.013224137229485839,-0.012670940888684243,-0.029646490364124638,0.1002160507656234,0.0018221100139204256,0
Europe,2020-02-10,747993718,-0.11895448217859901,-0.11894387266785361,-0.11894502290265403,-0.11894502290265403,-0.11895448217859901,-0.11897790361450271,-0.1190038519706233,-5.82682351743428,-0.11891476566192406,0
Oceania,2020-02-10,43202462,-0.011452298725393857,0.01864528854941348,0.01864528854941348,0.01864528854941348,-0.011452298725393857,-0.011452298725393857,-0.0119133025180819,0.08879433774169697,0.004228301797223665,0
Americas,2020-02-17,1026788511,-0.01381420622207528,-0.013670958549920016,-0.013670958549920016,-0.013670958549920016,-0.01381420622207528,-0.014415733807385993,-0.015438376757948888,-0.6730464384169803,-0.014021800800353758,0
Asia,2020-02-17,4679006159,-0.015506344646527209,-0.015506344646527209,-0.015506344646527209,-0.015506344646527209,-0.039837231085718385,-0.039837231085718385,-0.056790267005207826,-1.8129160001404687,-0.03554737255177389,0.0026073913103391577
Africa,2020-02-17,1371693397,0.015655465075007258,0.02221094800370583,0.02221094800370583,0.02221094800370583,0.015655465075007258,-0.012939229130527708,-0.030177769513959295,0.10117072752676504,0.0018394677732139098,0
Europe,2020-02-17,747993718,-0.1711925751385105,-0.17118106689789736,-0.17119148567300432,-0.17119148567300432,-0.1711925751385105,-0.17120539084390962,-0.17124911111486127,-8.386960883008614,-0.1711624670001758,1.9117807617737236e-5
Oceania,2020-02-17,43202462,-0.020404030234232734,-0.008168875563959946,-0.016541154727671745,-0.017714895933474858,-0.020404030234232734,-0.020404030234232734,-0.021817285462803027,-0.1313320059838066,-0.006253905046847934,0
Americas,2020-02-24,1026788511,-0.010120440068331297,-0.010120440068331297,-0.010120440068331297,-0.010120440068331297,-0.011558405842539218,-0.011558405842539218,-0.012142430067662314,-0.4953180926435509,-0.010319126930073976,0
Asia,2020-02-24,4679006159,-0.012090266013730994,-0.012090266013730994,-0.012090266013730994,-0.012090266013730994,-0.03601312816402593,-0.03601312816402593,-0.04817301627509622,-1.6013502268294797,-0.03139902405548,0.002295979025232995
Africa,2020-02-24,1371693397,-0.044114144514307126,-0.0010668842447805107,-0.0010668842447805107,-0.0010668842447805107,-0.044114144514307126,-0.07076359341940928,-0.0873525925774972,-0.3140066265047572,-0.005709211390995585,0
Europe,2020-02-24,747993718,-0.1614382225425797,-0.16140641724069377,-0.1614382225425797,-0.1614382225425797,-0.16143962902082884,-0.16143962902082884,-0.16149452350750423,-7.908712599005374,-0.16140229793888516,1.3369096236179887e-4
Oceania,2020-02-24,43202462,-0.010074288970401862,0.0021015980063161933,-0.0029027767621657803,-0.0029027767621657803,-0.010074288970401862,-0.010074288970401862,-0.012228654875606312,0.12087499747681217,0.005755952260800579,0
Americas,2020-03-02,1026788511,0.009814157331329405,0.01281981855162183,0.011805347103932726,0.010127183918997808,0.009814157331329405,0.009814157331329405,0.009814157331329405,0.5675034132131196,0.011822987775273323,8.346412049014445e-5
Asia,2020-03-02,4679006159,-0.07652562851801718,-0.06918311274126406,-0.06918311274126406,-0.06918311274126406,-0.07652562851801718,-0.07987221693118729,-0.08879252375895176,-2.7085846920216103,-0.053109503765129615,0.0012151298388577308
