continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Americas,2020-01-01,1026788511,0.0010748880441232187,0.002734423117823718,0.0010748880441232187,0.0010748880441232187,-0.00309166688055465,-0.00309166688055465,-0.00309166688055465,0,0,0
Asia,2020-01-01,4679006159,-0.05482170864437083,-0.05482170864437083,-0.05482170864437083,-0.05482170864437083,-0.16202605014767518,-0.16758679035043816,-0.18103929614228229,-7.698028382654071,-0.1509417329932171,0
Africa,2020-01-01,1371693397,0.17319981303087903,0.17319981303087903,0.17319981303087903,0.17319981303087903,0.06559679629891298,-0.003574503887658164,-0.10872855563160785,0,0,0
Europe,2020-01-01,747993718,-1.3973336347180087e-4,3.3885888287844036e-5,-5.466685695741391e-6,-3.6484318285682836e-5,-1.3973336347180087e-4,-1.3973336347180087e-4,-1.3973336347180087e-4,0,0,0
Oceania,2020-01-01,43202462,-0.03856476865410797,0.025435242220979055,-0.025970519401155655,-0.025970519401155655,-0.03856476865410797,-0.03856476865410797,-0.09663569015339146,0,0,0
Americas,2020-01-06,1026788511,0.0019303428116379821,0.005190255456432449,0.0019303428116379821,0.0019303428116379821,-0.0057501705578963565,-0.0057501705578963565,-0.0057501705578963565,0,0,0
Asia,2020-01-06,4679006159,-0.10558963829667294,-0.10558963829667294,-0.10558963829667294,-0.10558963829667294,-0.32285315243025353,-0.33464328703669394,-0.3587033261097907,-15.396056765308142,-0.3018834659864342,0
Africa,2020-01-06,1371693397,0.3463376198747141,0.3463376198747141,0.3463376198747141,0.3463376198747141,0.1364361066596416,-0.012025019183531776,-0.21698607846365564,0,0,0
Europe,2020-01-06,747993718,-2.7946672694360175e-4,6.777177657568807e-5,-1.0933371391482782e-5,-7.296863657136567e-5,-2.7946672694360175e-4,-2.7946672694360175e-4,-2.7946672694360175e-4,0,0,0
Oceania,2020-01-06,43202462,-0.07714982432144578,0.04935310475707449,-0.058847587614143305,-0.058847587614143305,-0.07714982432144578,-0.07714982432144578,-0.19013069028557966,0,0,0
