world,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
World,2020-01-01,7868684247,-430.4685825522331,-115.47200588403679,-115.47200588403679,-422.039542568889,-1074.760119074489,-1474.573985488339,-1474.573985488339,-226002.3354641268,-1008.938997607709,0
World,2020-01-06,7868684247,-433.4326400383555,-102.48751028608956,-102.48751028608956,-433.4326400383555,-1072.026173571087,-1465.421280938244,-1465.421280938244,-226002.3354641268,-1008.938997607709,0
World,2020-01-13,7868684247,-696.4984354935712,-366.2399274123899,-366.2399274123899,-696.4984354935712,-1342.8728526313453,-1728.3623948781485,-1728.3623948781485,-281544.2791576062,-1256.8941033821704,0
World,2020-01-20,7868684247,-1287.9963796266802,-563.6001014952052,-563.6001014952052,-922.5919264874994,-1768.8557030875515,-2193.664356512925,-2193.664356512925,-347829.46621063456,-1552.8101170117616,0
World,2020-01-27,7868684247,-1447.8557966008198,-781.0932856251317,-781.0932856251317,-1057.9846813335566,-2316.819904146373,-3205.3236740352236,-3205.3236740352236,-455241.1725751573,-2032.3266632819523,0
World,2020-02-03,7868684247,209.22523666094773,1466.3435715608543,1466.3435715608543,741.5280048159755,-697.3116684058947,-1709.264198856153,-1709.264198856153,-71201.79610241033,-317.86516117147465,49
World,2020-02-10,7868684247,-1407.2877104626843,-508.952824161959,-508.952824161959,-893.8374769530595,-2755.4754776299833,-3896.2811810235894,-3896.2811810235894,-421189.84491117543,-1880.311807639176,83.857
World,2020-02-17,7868684247,-2387.4088503484904,-1188.3284405071806,-1188.3284405071806,-1966.0311410364934,-3593.852339827827,-4544.5361183752475,-4544.5361183752475,-668828.5250582265,-2985.8416297242256,122.143
World,2020-02-24,7868684247,-2804.7242104510983,-1813.6535068622572,-1813.6535068622572,-2579.785552065437,-3844.417451368347,-5217.719859373716,-5217.719859373716,-619074.784593432,-2763.7267169349643,108.429
World,2020-03-02,7868684247,-4257.5817377114,-3494.275275296112,-3494.275275296112,-4257.5817377114,-5839.67410411767,-6450.927987643491,-6450.927987643491,-658954.114069826,-2941.759437811723,64.571
World,2020-03-09,7868684247,-1344.702006783641,-548.1253468547505,-548.1253468547505,-1308.145702247454,-2640.050819693836,-4031.7749305461916,-4031.7749305461916,41733.20528807782,186.30895217891884,129.573
World,2020-03-16,7868684247,1224.4220221320631,1616.7143532267644,1616.7143532267644,1224.4220221320631,-906.4953686223668,-2322.8203530080814,-2322.8203530080814,406756.09688636835,1815.87543252843,453.574
World,2020-03-23,7868684247,4557.454068820885,4705.147568542722,4705.147568542722,4557.454068820885,2552.6048213972445,1852.8836464037656,1852.8836464037656,1450107.5128495204,6473.694253792502,1386.722
World,2020-03-30,7868684247,5772.324782904221,6614.531478904924,6614.531478904924,5772.324782904221,3279.302215712357,1798.6092843321717,1798.6092843321717,2018883.6833859475,9012.873586544409,3293.007
World,2020-04-06,7868684247,6976.707111269767,7149.96551669216,7149.96551669216,6976.707111269767,4212.125682982684,2950.5897051851966,2950.5897051851966,2227507.8106977823,9944.231297757957,5710.151
World,2020-04-13,7868684247,6062.87048494838,6308.783828941639,6308.783828941639,6062.87048494838,2841.0975927003633,1086.8621418303408,1086.8621418303408,1970674.9573644425,8797.65605966269,6952.014
World,2020-04-20,7868684247,4927.11857860364,4927.11857860364,4927.11857860364,4927.11857860364,914.0029729971266,-856.0126474054081,-856.0126474054081,1579959.0106977792,7053.388440615086,7023.294
World,2020-04-27,7868684247,3754.263791055311,3754.263791055311,3754.263791055311,3754.263791055311,-243.89122573562955,-2895.3999082047358,-2895.3999082047358,1187947.170697786,5303.335583472259,6199.862
World,2020-05-04,7868684247,7497.601484779568,8582.519523670024,8582.519523670024,7497.601484779568,4294.4431426117135,2310.561136175949,2310.561136175949,1468027.9414504757,6553.696167189624,5649.294
World,2020-05-11,7868684247,7704.440805623937,9268.431584306632,9268.431584306632,8113.920201533839,5414.981449742507,3671.871319697633,3671.871319697633,1450837.6481171325,6476.953786237198,5310.577
World,2020-05-18,7868684247,8154.516743234171,11876.370656011577,11876.370656011577,8154.516743234171,5359.897516428681,3056.4099171848297,3056.4099171848297,1339800.9547838052,5981.254262427701,4979.437
World,2020-05-25,7868684247,13001.419765482731,21439.099076097264,21439.099076097264,13001.419765482731,5745.06124762076,2829.455574904031,2829.455574904031,1211236.9014504745,5407.307595761047,4367.436
World,2020-06-01,7868684247,15270.87944156517,23496.021063552394,23496.021063552394,16802.284445035875,11426.885258082993,9953.394190159435,9953.394190159435,1605643.7040311112,7168.05225013889,4474.15
World,2020-06-08,7868684247,18359.185170214187,19484.09199390016,19484.09199390016,18359.185170214187,11323.051998309262,9622.269712142224,9622.269712142224,1629568.610697777,7274.8598691865045,4740.577
World,2020-06-15,7868684247,18516.791550772672,19920.113147536395,19920.113147536395,18516.791550772672,12709.298089837688,10385.068227309515,10385.068227309515,1587383.11736445,7086.531773948437,4634.146
World,2020-06-22,7868684247,21406.33877896768,22461.26309598237,22461.26309598237,21406.33877896768,15017.781377602501,12387.218474532934,12387.218474532934,1799455.5520578646,8033.283714544039,5308.288
World,2020-06-29,7868684247,23682.361062416647,23846.456592850074,23846.456592850074,23682.361062416647,15971.474368734516,12942.542059254116,12942.542059254116,1801165.95205787,8040.919428829777,4788.716
World,2020-07-06,7868684247,22488.513841405937,22765.466542292146,22765.466542292146,22488.513841405937,18119.700220460138,14194.663208949645,14194.663208949645,2181467.4539933526,9738.693991041753,4868.289
World,2020-07-13,7868684247,23803.91699946369,24382.71081266891,24382.71081266891,23803.91699946369,18651.55347432865,16256.799997142156,16256.799997142156,2308606.4406600273,10306.278752946551,5329.859
World,2020-07-20,7868684247,24202.358916052264,24562.444133155932,24562.444133155932,24202.358916052264,20232.913077908226,17114.275049928583,17114.275049928583,2360163.1339933556,10536.442562470338,5761.72
World,2020-07-27,7868684247,24869.415908256135,26713.81439321475,26713.81439321475,24869.415908256135,21070.723679899635,17989.452530412455,17989.452530412455,2518912.2539933533,11245.143991041756,6069.857
World,2020-08-03,7868684247,21288.535505960168,23868.289606752845,23868.289606752845,21552.090013031797,18551.012140618484,15718.775781399745,15718.775781399745,2107428.988617012,9408.165127754517,6046.581
World,2020-08-10,7868684247,23082.543129641257,25571.855448243634,25571.855448243634,23082.543129641257,19059.285633932155,17379.514696790455,17379.514696790455,2251390.2686170135,10050.84941346881,6369.575
World,2020-08-17,7868684247,23460.52096130701,27863.495189077767,27863.495189077767,23460.52096130701,18983.454060889697,16195.276420937818,16195.276420937818,2016962.108617012,9004.295127754518,6043.001
World,2020-08-24,7868684247,21891.155552795946,26953.761420411694,26953.761420411694,21891.155552795946,17582.039501317413,14428.91639313607,14428.91639313607,1754287.1219503416,7831.638937278311,5876.861
World,2020-08-31,7868684247,19252.078300138535,24497.494174934523,24497.494174934523,20661.94975471771,15583.613989524663,12764.617334580673,12764.617334580673,1567365.6286170124,6997.167984897377,5666.003
World,2020-09-07,7868684247,20614.884599247216,25985.55113062398,25985.55113062398,22803.203079985822,18179.665547593646,13496.72610831213,13496.72610831213,1539628.0284653935,6873.339412791935,5663.719
World,2020-09-14,7868684247,21947.397943888896,27676.96975843339,27676.96975843339,22887.865029530214,18732.714202941832,13519.60279983765,13519.60279983765,1497150.1617987317,6683.706079458623,5282.288
World,2020-09-21,7868684247,20407.524879899225,26637.998289958396,26637.998289958396,21717.896189465788,17157.534084978317,11700.117182270407,11700.117182270407,1441898.4446972872,6437.046628112889,5377.005
World,2020-09-28,7868684247,19777.65992250369,25983.947445346974,25983.947445346974,20894.394337148835,17239.333784932867,11225.20454779551,11225.20454779551,1416101.6446972904,6321.882342398618,5394.144
World,2020-10-05,7868684247,20811.518249098524,24535.471784351466,24535.471784351466,20811.518249098524,17427.474296484477,13127.80080238442,13127.80080238442,1856060.6111670244,8285.984871281358,6136.146
World,2020-10-12,7868684247,20328.173055155905,24109.907940955254,24109.907940955254,20328.173055155905,16967.379611995682,14265.058261918799,14265.058261918799,1966551.811167025,8779.249156995647,5336.864
World,2020-10-19,7868684247,21289.764868287373,26285.500391520804,26285.500391520804,21289.764868287373,19097.523981037793,17167.55153943056,17167.55153943056,2363770.477833696,10552.546776043286,5470.431
World,2020-10-26,7868684247,22667.962602689986,27837.364742312235,27837.364742312235,22999.498949286644,19833.845696908655,18566.983386907024,18566.983386907024,2680885.357833694,11968.238204614707,6031.2919999999995
World,2020-11-02,7868684247,28591.113590640944,32919.86478646215,32919.86478646215,28591.113590640944,24198.7278314425,22762.9868122615,22762.9868122615,3520704.8162423,15717.432215367411,6776.434
World,2020-11-09,7868684247,29569.919229508676,34112.697325849156,34112.697325849156,29569.919229508676,25187.96722057268,23545.292396432546,23545.292396432546,3674336.1762422887,16403.286501081646,8331.865
World,2020-11-16,7868684247,29285.92547307798,32527.017082044327,32527.017082044327,29285.92547307798,24997.466314453803,22398.99173398807,22398.99173398807,3714100.7629089574,16580.806977272132,9092.719
World,2020-11-23,7868684247,28958.661408767148,32837.08209802818,32837.08209802818,28999.181830392077,25498.104877978352,22213.27867367475,22213.27867367475,3679423.4295756286,16425.997453462627,10046.432
World,2020-11-30,7868684247,28332.792965678465,32209.35352826907,32209.35352826907,28503.52618470844,25472.481708004852,23080.283263976686,23080.283263976686,3748290.202908961,16733.438405843575,10383.437
World,2020-12-07,7868684247,29480.469817465706,33214.022613752364,33214.022613752364,29480.469817465706,25527.159745784982,23190.413458661526,23190.413458661526,3958636.712889928,17672.485325401463,11007.284
World,2020-12-14,7868684247,28184.650195764792,32743.377268101212,32743.377268101212,29275.143921097384,25215.800343685754,22649.79316733085,22649.79316733085,3875411.006223259,17300.94199206812,11182.146999999999
World,2020-12-21,7868684247,28267.725216311333,31539.954404362074,31539.954404362074,28824.632602520687,25793.056899537907,23910.133768001833,23910.133768001833,4011416.8079178054,17908.11074963306,11769.86
World,2020-12-28,7868684247,28560.63686471322,33068.35207797354,33068.35207797354,29881.74347885415,26348.290096315,24643.234364908865,24643.234364908865,4306928.924558438,19227.36127035017,10483.431
World,2021-01-04,7868684247,25937.691630862406,30513.354231642817,30513.354231642817,27701.145707910455,23485.76217675366,21874.972432167848,21874.972432167848,3846458.9890004937,17171.691915180774,11392.143
World,2021-01-11,7868684247,26399.739463118793,31837.357687280197,31837.357687280197,28428.66463399904,24803.776014361865,20533.025838825433,20533.025838825433,4073170.989000024,18183.79905803582,13239.287
World,2021-01-18,7868684247,26625.84142929241,32384.65015245338,32384.65015245338,28263.204214915306,24341.083034584262,21338.770109896286,21338.770109896286,4137350.722333361,18470.315724702505,13872.288
World,2021-01-25,7868684247,23584.792201322383,27963.679028165618,27963.679028165618,25058.893211002527,21031.20598591273,17629.56510983995,17629.56510983995,3451260.0556666786,15407.410962797672,14578.151
World,2021-02-01,7868684247,19885.265511867256,24135.01939021992,24135.01939021992,21209.691062584698,17154.29201440314,14120.007611238989,14120.007611238989,2706479.4183934424,12082.497403542153,14282.429
World,2021-02-08,7868684247,16684.285098471533,20527.612919618412,20527.612919618412,17953.7224346935,14230.001816389184,11484.350742899636,11484.350742899636,2099636.7517267712,9373.378355923085,12833.571
World,2021-02-15,7868684247,16448.367796122402,20865.238501619508,20865.238501619508,18029.688262520227,14635.629867676484,10962.244153386311,10962.244153386311,1954938.360766322,8727.403396278223,11548.86
World,2021-02-22,7868684247,15355.06340348654,18894.922689941635,18894.922689941635,16957.069726952504,12886.483331843141,9816.070881296477,9816.070881296477,1641375.160766325,7327.567681992522,9948.292
World,2021-03-01,7868684247,16675.616572976895,21823.46169469052,21823.46169469052,18156.747066077223,14133.761850372655,11035.643254388993,11035.643254388993,1979548.9784875272,8837.272225390747,9733.29
World,2021-03-08,7868684247,17451.698026764214,20411.844120493617,20411.844120493617,17606.108679585723,14813.009303048828,10855.018820748983,10855.018820748983,2024916.8910689738,9039.807549415062,9186.575
World,2021-03-15,7868684247,18926.416626031987,24626.652741075082,24626.652741075082,19577.430645270233,15916.592600536094,12188.7783035331,12188.7783035331,2126168.0910689677,9491.82183512932,8966.577
World,2021-03-22,7868684247,20159.946341910887,26124.872049168862,26124.872049168862,20841.523502135606,17009.887291840805,12902.662561493245,12902.662561493245,2272596.746795489,10145.52119105129,9703.87
World,2021-03-29,7868684247,24656.3912062132,30137.42801636311,30137.42801636311,26216.33366012981,19890.46080502364,17497.205572343104,17497.205572343104,2401308.4267954775,10720.126905336952,10354.287
World,2021-04-05,7868684247,30900.501093713297,37843.36922676863,37843.36922676863,32218.755561056132,25440.600773562783,24080.389855894617,24080.389855894617,2655720.934603594,11855.89702948033,10367.72
World,2021-04-12,7868684247,34366.00767191681,41694.37235312257,41694.37235312257,36114.94276229598,28356.93114500328,25792.981013426182,25792.981013426182,2652203.2812702684,11840.193219956554,12653.719
World,2021-04-19,7868684247,38947.09371824726,45715.77150312391,45715.77150312391,41757.944418636725,35128.49590413553,32077.229999028907,32077.229999028907,2776669.6279369313,12395.846553289872,12509.154
World,2021-04-26,7868684247,47892.319979647065,67222.3714205263,67222.3714205263,50599.05498470347,41381.72696337811,35634.95013163263,35634.95013163263,2653790.481270267,11847.278934242264,13380.434
World,2021-05-03,7868684247,55543.80396960882,85611.8360880005,85611.8360880005,62429.29822994873,44351.51125677531,37021.29577680036,37021.29577680036,2200215.3380444637,9822.389901984212,13725.575
World,2021-05-10,7868684247,60175.799574415956,100459.37537491797,100459.37537491797,65546.24203777319,44932.34058630351,35908.99523367705,35908.99523367705,2138829.6313778013,9548.346568650899,13268.142
World,2021-05-17,7868684247,58318.81411887103,104015.44486302818,104015.44486302818,79349.62624186353,39676.58570442162,33271.5228224789,33271.5228224789,2007636.138044458,8962.661330555617,12661.568
World,2021-05-24,7868684247,60872.48601626726,102723.13177805602,102723.13177805602,76566.1245011474,34916.36872388003,30577.63463282697,30577.63463282697,1873194.7166212425,8362.47641348769,11990.293
World,2021-05-31,7868684247,52434.87695261892,81610.68222046702,81610.68222046702,69018.70675382331,36142.0474691428,28930.882036973762,28930.882036973762,1916304.2632879114,8554.929746821033,11251.576000000001
World,2021-06-07,7868684247,43248.144738590934,66991.98234502935,66991.98234502935,51942.852215405874,30318.945382800914,26821.776025695177,26821.776025695177,1913232.4731803776,8541.216398126686,9777.005000000001
World,2021-06-14,7868684247,33519.22705574917,47388.2288627056,47388.2288627056,39438.245197923,26702.136843414723,24213.8355397003,24213.8355397003,1974408.579847042,8814.324017174295,9744.719
World,2021-06-21,7868684247,29183.509714245254,44139.337658152726,44139.337658152726,35698.48943505093,24003.502881125278,22253.023794717203,22253.023794717203,1942163.9855103712,8670.374935314157,8748.011
World,2021-06-28,7868684247,31042.688894404015,42619.73027009888,42619.73027009888,35460.1257121924,24876.70268840492,22727.321543692662,22727.321543692662,2006444.4121770314,8957.341125790319,8055.007
World,2021-07-05,7868684247,31162.858842970334,44063.964261544745,44063.964261544745,35559.84607059157,26996.942854222252,22951.900712282826,22951.900712282826,2018663.673207263,9011.89139824671,7879.147
World,2021-07-12,7868684247,33272.71407104548,46746.53739795864,46746.53739795864,40324.911441695454,28966.277783362224,25159.2263178597,25159.2263178597,2230127.6732072597,9955.9271125324085,8084.43
World,2021-07-19,7868684247,34296.20367648829,47996.71428367781,47996.71428367781,40313.71685989095,30149.302716755727,24723.536427280218,24723.536427280218,2281500.259873937,10185.26901729436,7937.863
World,2021-07-26,7868684247,37026.398818897556,48242.078386727946,48242.078386727946,43857.45574014711,31757.939215087452,25843.80385997888,25843.80385997888,2465239.3532072636,11005.532826818142,8786.434
World,2021-08-02,7868684247,38310.23035824151,51819.17482787836,51819.17482787836,45565.90567072762,34189.43108430655,27519.937818188617,27519.937818188617,2782212.246110486,12420.590384421812,9238.283
World,2021-08-09,7868684247,40653.82382944211,51874.7101402504,51874.7101402504,45809.15673804559,34117.9162287007,28437.58299195325,28437.58299195325,2963631.6594438227,13230.498479659924,9594.717
World,2021-08-16,7868684247,40259.60558476504,51371.865706854405,51371.865706854405,48932.43573900789,34911.22170357978,29205.86919003251,29205.86919003251,3202920.9394438243,14298.754193945644,9838.293
World,2021-08-23,7868684247,42075.350622618316,50881.86351725614,50881.86351725614,49171.8843845602,35018.400857646295,29719.78801839975,29719.78801839975,3308467.179443825,14769.942765374219,10019.295
World,2021-08-30,7868684247,40396.75694171576,48451.51939081265,48451.51939081265,45347.23546841301,31699.856706423383,26896.859918163707,26896.859918163707,3179740.264325513,14195.269037167469,9839.998
World,2021-09-06,7868684247,39938.58999921574,48719.33680701639,48719.33680701639,44233.5072677566,32362.736264371055,25708.06809046661,25708.06809046661,3298665.0108955214,14726.183084355007,9375.862
World,2021-09-13,7868684247,36126.61378578962,46024.11506640257,46024.11506640257,39909.83802500671,29810.267029534058,24748.58670467244,24748.58670467244,3066469.59756218,13689.596417688303,9047.858
World,2021-09-20,7868684247,32833.10318235628,43895.9114063956,43895.9114063956,36761.95635528147,28265.35476807201,22649.094135585645,22649.094135585645,2843361.226547691,12693.576904230764,8643.147
World,2021-09-27,7868684247,31156.912215703338,41195.31073308327,41195.31073308327,35467.209842847726,27044.206841604908,22124.166339041538,22124.166339041538,2650779.7050495627,11833.837968971262,8040.576
World,2021-10-04,7868684247,28777.509953056033,37601.148666334906,37601.148666334906,32727.284457887094,25490.273297920616,19455.438484373037,19455.438484373037,2253935.8426861707,10062.213583420405,7640.715
World,2021-10-11,7868684247,28726.01419866743,36068.155874748,36068.155874748,29778.0205949116,23904.602482537346,19001.718690675636,19001.718690675636,2338801.0160194957,10441.075964372749,6907.719
World,2021-10-18,7868684247,28993.134450639936,34174.44545128899,34174.44545128899,29471.28390968444,23481.893036428326,18844.069167285783,18844.069167285783,2319189.8160194973,10353.525964372757,6881.863
World,2021-10-25,7868684247,29123.448622201482,35808.95826739326,35808.95826739326,30217.23518071014,23605.330813531935,20187.72401236593,20187.72401236593,2285813.2826861674,10204.52358342039,7121.86
World,2021-11-01,7868684247,30122.042034008635,36880.33538273541,36880.33538273541,31856.767109195272,25176.603776582146,21319.17612067178,21319.17612067178,2619025.969875223,11692.080222657245,7211.001
World,2021-11-08,7868684247,29882.943965469683,37147.36384193377,37147.36384193377,31778.774782324566,24583.7631853124,20611.23253319788,20611.23253319788,2670852.103208563,11923.446889323941,7098.724
World,2021-11-15,7868684247,27820.41063826516,34219.290944142085,34219.290944142085,28489.594143616163,23911.71162092521,19922.386493394726,19922.386493394726,2631056.270399562,11745.786921426617,7279.71
World,2021-11-22,7868684247,28465.214800635116,34954.67319108143,34954.67319108143,29598.44458628656,24008.807101018247,18433.601047537868,18433.601047537868,2660532.217066229,11877.375969045665,7290.287
World,2021-11-29,7868684247,29180.640638966222,36805.12298800857,36805.12298800857,31490.537246632026,25104.51466523334,19112.69802828768,19112.69802828768,2689494.3048564815,12006.671003823578,7102.435
World,2021-12-06,7868684247,27605.821458278242,36240.190189118344,36240.190189118344,29212.32797184901,21894.817605388005,17518.36753990169,17518.36753990169,1810846.8093026762,8084.137541529804,7944.5740000000005
World,2021-12-13,7868684247,24512.810769409814,33061.40218252482,33061.40218252482,26897.14551705529,20166.925078714088,16040.13211857371,16040.13211857371,1591554.569003051,7105.154325906477,7190.003
World,2021-12-20,7868684247,25166.503237967274,34473.04533740868,34473.04533740868,25654.383487823852,21833.814692648295,18523.087979704636,18523.087979704636,1235382.5080461677,5515.100482348963,6924.716
World,2021-12-27,7868684247,25679.00014280957,35323.29631625359,35323.29631625359,30490.830163281917,21734.076077755028,19185.46506499932,19185.46506499932,1117431.7398448798,4988.534552878928,6498.439
World,2022-01-03,7868684247,20574.85826489982,37075.83846403163,37075.83846403163,30553.089413647493,20574.85826489982,18306.153582547497,18306.153582547497,206095.43784837276,920.0689189659498,6035.145
World,2022-01-10,7868684247,31741.427641041777,46607.47705650017,46607.47705650017,37200.19496730199,29103.29019022594,21866.136951990484,21866.136951990484,166976.6812938262,745.431612918867,6419.86
World,2022-01-17,7868684247,40975.54273366693,64312.79948157886,64312.79948157886,53882.70215264015,37414.38245110787,29335.800887616057,29335.800887616057,0,0,7183.856
World,2022-01-24,7868684247,40906.01675806194,68867.36715834051,68867.36715834051,54287.331043068116,38561.89746519605,30625.20138696697,30625.20138696697,0,0,8189.0070000000005
World,2022-01-25,7868684247,43986.47643055209,70290.05749090701,70290.05749090701,58395.10763072867,40279.42422764321,33377.35152195458,33377.35152195458,0,0,8146.43
