world,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
World,2020-01-01,7868684247,-3013.280077865632,-808.3040411882575,-808.3040411882575,-2954.276797982223,-7523.320833521423,-10322.017898418373,-10322.017898418373,-1582016.3482488876,-7062.572983253963,0
World,2020-01-06,7868684247,-6047.30855813412,-1525.7166131908843,-1525.7166131908843,-6047.30855813412,-15009.475864453838,-20579.966864986083,-20579.966864986083,-3164032.696497775,-14125.145966507926,0
World,2020-01-13,7868684247,-10922.797606589118,-4089.3961050776134,-4089.3961050776134,-10922.797606589118,-24372.554913555345,-32678.50362913312,-32678.50362913312,-5134842.650601018,-22923.404690183117,0
World,2020-01-20,7868684247,-19938.77226397588,-8615.068903441785,-8615.068903441785,-19051.638291334362,-35135.53910275671,-48034.1541247236,-48034.1541247236,-7569648.91407546,-33793.07550926545,0
World,2020-01-27,7868684247,-30073.76284018162,-19615.146474212437,-19615.146474212437,-28912.093522817497,-50335.58508351715,-70471.41984297016,-70471.41984297016,-10756337.122101562,-48019.36215223912,0
World,2020-02-03,7868684247,-28609.186183554983,-13169.627923616346,-13169.627923616346,-23927.305070758357,-56635.83404217133,-82436.26923496323,-82436.26923496323,-11254749.694818433,-50244.41828043944,343
World,2020-02-10,7868684247,-38460.20015679378,-10688.291427285116,-10688.291427285116,-27489.97483989207,-70614.81121189488,-104762.72891876275,-104762.72891876275,-14203078.609196663,-63406.60093391367,929.999
World,2020-02-17,7868684247,-55172.06210923321,-15794.443949706354,-15794.443949706354,-43904.17575688562,-90153.96894450946,-135050.22939600976,-135050.22939600976,-18884878.284604248,-84307.49234198325,1785
World,2020-02-24,7868684247,-74805.1315823909,-29475.818898010028,-29475.818898010028,-58255.04638668407,-117064.89110408789,-166459.2995377783,-166459.2995377783,-23218401.776758272,-103653.579360528,2544.003
World,2020-03-02,7868684247,-104608.2037463707,-74632.31481151447,-74632.31481151447,-96818.04947208348,-151951.80006828756,-207337.01826660198,-207337.01826660198,-27831080.575247053,-124245.89542521007,2996
World,2020-03-09,7868684247,-114021.11779385619,-86593.05912362813,-86593.05912362813,-102854.73932533781,-167843.54676570132,-229152.4347306624,-229152.4347306624,-27538948.13823051,-122941.73275995762,3903.011
World,2020-03-16,7868684247,-105450.16363893174,-80145.28832852925,-80145.28832852925,-105450.16363893174,-168428.88479720516,-235497.902311019,-235497.902311019,-24691655.46002593,-110230.60473225862,7078.029
World,2020-03-23,7868684247,-73547.98515718554,-57778.278215759776,-57778.278215759776,-73547.98515718554,-146899.97965696017,-211676.07550434134,-211676.07550434134,-14540902.870079288,-64914.7449557111,16785.083
World,2020-03-30,7868684247,-33141.711676856,-11476.557863425303,-11476.557863425303,-33141.711676856,-113818.65357983076,-179128.116770097,-179128.116770097,-408717.0863776556,-1824.629849900245,39836.132
World,2020-04-06,7868684247,15695.238102032368,38573.20075341982,38573.20075341982,15695.238102032368,-75451.71404735609,-141869.3896428787,-141869.3896428787,15183837.58850682,67784.98923440545,79807.189
World,2020-04-13,7868684247,58135.33149667103,80254.11933301903,80254.11933301903,58135.33149667103,-58495.245711427655,-111758.24724474287,-111758.24724474287,28978562.29005792,129368.58165204427,128471.287
World,2020-04-20,7868684247,92625.16154689652,109037.26435432537,109037.26435432537,92625.16154689652,-59956.26526536603,-117750.33577658073,-117750.33577658073,40038275.36494237,178742.3007363499,177634.345
World,2020-04-27,7868684247,118905.00808428369,122784.95217095374,122784.95217095374,118905.00808428369,-45792.546043663904,-138018.13513401386,-138018.13513401386,48353905.55982687,215865.6498206557,221033.379
World,2020-05-04,7868684247,171388.21847774068,175748.38958371824,175748.38958371824,171388.21847774068,-9879.99587293545,-116705.97346706719,-116705.97346706719,58630101.1499802,261741.52299098307,260578.437
World,2020-05-11,7868684247,225319.30411710823,233662.94219711292,233662.94219711292,225319.30411710823,30051.574081280247,-81152.71518098787,-81152.71518098787,68785964.68680014,307080.1994946434,297752.476
World,2020-05-18,7868684247,282400.92131974746,299508.4505903984,299508.4505903984,282400.92131974746,68280.25059379802,-53166.201539182344,-53166.201539182344,78164571.37028676,348948.9793316374,332608.535
World,2020-05-25,7868684247,373410.8596781266,401107.070742317,401107.070742317,373410.8596781266,97967.8482993865,-19363.642858584542,-19363.642858584542,86643229.6804401,386800.1325019647,363180.587
World,2020-06-01,7868684247,480307.01576908276,513349.0779228904,513349.0779228904,480307.01576908276,175648.5930902381,61911.90725077367,61911.90725077367,97882735.60865787,436976.49825293693,394499.637
World,2020-06-08,7868684247,608821.311960582,631260.8180915845,631260.8180915845,608821.311960582,265290.5238162228,153363.07336362792,153363.07336362792,109289715.88354231,487900.51733724243,427683.676
