world,date,population,estimate,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
World,2020-01-01,7868684247,-196.01002433896144,-10017.070537735739,-9473.521490027148,-7843.795247375897,-7433.7149044971575,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6724.659626630667,-6676.75559610675,-6137.006424392161,-5744.75217142169,-3954.2831106420313,-196.01002433896144
World,2020-01-06,7868684247,-205.45589490290027,-19834.437956168375,-18911.335441717565,-15644.813036463995,-14827.785043203901,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13319.845318709005,-13293.043509866427,-12347.847587955664,-11377.814653723693,-7894.378440109982,-205.45589490290027
World,2020-01-13,7868684247,-1921.737775253803,-31633.54286252085,-29705.52294331982,-24954.91199787423,-24247.74755260768,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21809.360640373554,-21488.833172118055,-20139.26859165974,-18512.97325147406,-13570.755954017526,-1921.737775253803
World,2020-01-20,7868684247,-5717.588609849173,-45153.56469868937,-42964.03805323327,-36591.32205982848,-35548.5525181044,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-32109.342734786864,-31766.458054698174,-29457.377099141668,-27128.148405616637,-20677.260880620805,-5717.588609849173
World,2020-01-27,7868684247,-13140.539798989135,-63412.175264726546,-62142.63110098007,-52370.023495828966,-52135.38351614796,-40698.19609462208,-39913.547461840586,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-39587.80785337165,-31934.02689490567,-24903.681680539044,-13140.539798989135
World,2020-02-03,7868684247,-8764.217935773846,-76029.86153147863,-66466.14248344662,-58644.40487209051,-54723.499574164685,-40030.29859755997,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-39063.92425694646,-35791.994114007015,-28291.987231602776,-16269.243552304975,-8764.217935773846
World,2020-02-10,7868684247,-16569.25766290987,-99942.687705498,-81368.05725618204,-79325.07331224512,-67595.6322141474,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-50160.40829394239,-46742.758800584765,-44368.14527035285,-39325.21718120245,-25746.223825448975,-16569.25766290987
World,2020-02-17,7868684247,-30163.014579819803,-131430.43006632797,-107708.07951779837,-102062.38503787703,-87275.12740189154,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-71075.33764674926,-61309.43695265913,-59419.88454671682,-57326.35601997332,-42679.502673403185,-30163.014579819803
World,2020-02-24,7868684247,-47569.429610618834,-161466.38129212207,-140287.29549340965,-127901.60016357526,-111212.61975674832,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-92265.62286981072,-83436.44213907539,-77836.729148098,-72138.67328110088,-63698.20567357374,-47569.429610618834
World,2020-03-02,7868684247,-78129.56578199456,-192426.53505931035,-171300.56812373077,-157967.57246802855,-121152.69162381938,-118227.88090259602,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-115153.40847869268,-105217.55768031097,-100123.49802017695,-89278.23901022073,-78129.56578199456
