continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2020-01-01,655799753,-1.5089676057706038,7.779557216564622,7.321774446040853,3.8297237819073215,-2.4644658914289304,-5.806873076968144,-8.106365480240592,0,0,0
Asia,2020-01-01,4679006159,-408.5640794819352,-180.85558128904697,-239.02698777970647,-408.5640794819352,-988.6018187141767,-1279.6279369712502,-1392.4271786102106,-51455.88887799316,-1008.938997607709,0
Africa,2020-01-01,1371693397,506.1621477419849,506.1621477419849,506.1621477419849,506.1621477419849,-28.300116713205686,-210.25999932874507,-248.81347137200262,0,0,0
"Europe, United States, Canada, and Oceania",2020-01-01,1162303742,0.2706982597763057,11.21835072066808,9.130892050291811,2.092273147361104,-2.1243468651674178,-4.898631024982647,-5.431002771479025,0,0,0
Latin America and Caribbean,2020-01-06,655799753,2.0618134443680063,22.276965613756225,21.19595126407843,11.62820677380478,-0.8432864011388407,-5.918497330784182,-7.856499172475166,0,0,0
Asia,2020-01-06,4679006159,-408.2720117083562,-243.27992664765264,-321.276134555778,-408.2720117083562,-994.638467759855,-1272.7257240867432,-1382.3133048194602,-51455.88887799316,-1008.938997607709,0
Africa,2020-01-06,1371693397,506.15852546218565,506.15852546218565,506.15852546218565,506.15852546218565,-47.624932064218484,-209.7161324283174,-249.3211562953432,0,0,0
"Europe, United States, Canada, and Oceania",2020-01-06,1162303742,0.2706982597763057,11.82268808042494,9.134960322557081,2.092195333739689,-1.68505683516926,-4.312547781273788,-4.907953903035889,0,0,0
Latin America and Caribbean,2020-01-13,655799753,6.870015628293725,60.74962393119469,47.01931715452696,29.510399960738727,1.0365251306627268,-7.297164015024446,-13.111206297633421,0,0,0
Asia,2020-01-13,4679006159,-780.6390586239538,-488.95613289374097,-551.5476647056144,-780.6390586239538,-1250.8409231583607,-1540.5425960866162,-1636.8514763255932,-64101.59927249069,-1256.8941033821704,0
