custom_regions,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
Latin America and Caribbean,2020-01-01,655805524,2.2416556151323253,2.2416556151323253,2.2416556151323253,2.2416556151323253,-2.415746355062523,-9.036871130402911,-9.036871130402911,0,0,0
Asia,2020-01-01,4678110154,-634.4505461142829,-356.1920147003314,-356.1920147003314,-634.4505461142829,-1228.3993340140194,-1352.2114641698201,-1352.2114641698201,-50446.94988038545,-1008.938997607709,0
Oceania,2020-01-01,43202462,-3.376980017199283,9.260141187789216,9.260141187789216,3.5342191863001857,-3.376980017199283,-18.796337599258226,-18.796337599258226,0,0,0
European Union,2020-01-01,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-01,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-06,655805524,2.2141687285704656,11.097700799341247,11.097700799341247,5.206222562015791,-0.11686335501290149,-5.01985917146899,-5.01985917146899,0,0,0
Asia,2020-01-06,4678110154,-636.4203864632448,-346.70882225337647,-346.70882225337647,-636.4203864632448,-1233.1293461684254,-1351.9314312443512,-1351.9314312443512,-50446.94988038545,-1008.938997607709,0
Oceania,2020-01-06,43202462,-3.376980017199283,9.370072594913978,9.370072594913978,3.563126536334888,-3.376980017199283,-18.80498253983127,-18.80498253983127,0,0,0
European Union,2020-01-06,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-06,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-13,655805524,9.424231132606526,19.83184730756903,19.83184730756903,10.152040487622155,0.6789298458260689,-11.32932162921543,-11.32932162921543,0,0,0
Asia,2020-01-13,4678110154,-905.962044086633,-603.0825587741908,-603.0825587741908,-905.962044086633,-1440.919743548407,-1602.798343500029,-1602.798343500029,-62844.70516910852,-1256.8941033821704,0
Oceania,2020-01-13,43202462,-3.3757888419692135,9.240712641689198,9.240712641689198,2.5864818961129505,-3.3757888419692135,-18.80967698970483,-18.80967698970483,0,0,0
European Union,2020-01-13,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-13,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-20,655805524,2.222527104779436,7.982293376054892,7.982293376054892,3.517015629670538,-0.9900791824294083,-6.484963493186483,-6.484963493186483,0,0,0
Asia,2020-01-20,4678110154,-1172.4012069270748,-757.6023154857098,-757.6023154857098,-1131.5733109601856,-1734.2299677583355,-2018.3963465250404,-2018.3963465250404,-77640.50585058807,-1552.8101170117616,0
Oceania,2020-01-20,43202462,-7.3837241982647654,5.433424714337291,5.433424714337291,2.3275277735962834,-7.3837241982647654,-18.5940484368523,-18.5940484368523,0,0,0
European Union,2020-01-20,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-20,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-27,655805524,-87.46976299564842,-82.26156247886443,-82.26156247886443,-86.78460528633262,-94.53338234459947,-102.51855746935694,-102.51855746935694,-4126.0542900482005,-89.69683239235218,0
Asia,2020-01-27,4678110154,-474.6393854530393,280.63000034439654,280.63000034439654,-203.34943836715442,-1273.986614985489,-1781.5618892221403,-1781.5618892221403,-44027.450245004606,-880.5490049000921,0
Oceania,2020-01-27,43202462,-24.865011986557658,-14.359721526652363,-14.359721526652363,-16.571479518912692,-24.865011986557658,-32.38867968347832,-32.38867968347832,-293.19589023483184,-13.961709058801517,0
European Union,2020-01-27,447045744,-507.80544069978504,-507.80544069978504,-507.80544069978504,-507.80544069978504,-507.80544069978504,-507.80544069978504,-507.80544069978504,-13710.746898894196,-507.80544069978504,0
North America,2020-01-27,370982987,-132.204569660499,-132.204569660499,-132.204569660499,-132.204569660499,-132.204569660499,-132.204569660499,-132.204569660499,-264.409139320998,-132.204569660499,0
Latin America and Caribbean,2020-02-03,655805524,47.507522472009164,52.667610726556866,52.667610726556866,50.48339107934907,39.966933816408094,36.15385400116122,36.15385400116122,2229.2200279763624,48.46130495600788,0
Asia,2020-02-03,4678110154,970.6662665790634,2096.136194848681,2096.136194848681,1392.329762341254,168.1979615518699,-500.2527142198436,-500.2527142198436,33394.92259212517,667.8984518425034,49
Oceania,2020-02-03,43202462,-18.818916702557754,-8.270917836146939,-8.270917836146939,-13.744190266881693,-21.596545706810904,-31.202740214330873,-31.202740214330873,-278.88865997899023,-13.280412379951917,0
European Union,2020-02-03,447045744,-775.2726913486468,-775.2726913486468,-775.2726913486468,-775.2726913486468,-775.2726913486468,-775.2726913486468,-775.2726913486468,-20932.362666413464,-775.2726913486468,0
