custom_regions,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Latin America and Caribbean,2020-01-01,655805524,15.691589305926277,15.691589305926277,15.691589305926277,15.691589305926277,-16.91022448543766,-63.258097912820375,-63.258097912820375,0,0,0
Asia,2020-01-01,4678110154,-4441.153822799981,-2493.3441029023197,-2493.3441029023197,-4441.153822799981,-8598.795338098136,-9465.48024918874,-9465.48024918874,-353128.6491626982,-7062.572983253963,0
Oceania,2020-01-01,43202462,-23.63886012039498,64.82098831452451,64.82098831452451,24.7395343041013,-23.63886012039498,-131.57436319480757,-131.57436319480757,0,0,0
European Union,2020-01-01,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-01,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-06,655805524,31.190770405919537,93.41346099696997,93.41346099696997,31.190770405919537,-13.030104229371442,-65.13952821710541,-65.13952821710541,0,0,0
Asia,2020-01-06,4678110154,-8896.096528042694,-4920.305858675954,-4920.305858675954,-8896.096528042694,-17231.95191344698,-18929.0002678992,-18929.0002678992,-706257.2983253964,-14125.145966507926,0
Oceania,2020-01-06,43202462,-47.27772024078996,130.41149647892234,130.41149647892234,49.789766127816236,-47.27772024078996,-263.2092409736265,-263.2092409736265,0,0,0
European Union,2020-01-06,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-06,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-13,655805524,97.16038833416522,169.07288303903633,169.07288303903633,97.16038833416522,-1.7418352586356676,-98.43217337537558,-98.43217337537558,0,0,0
Asia,2020-01-13,4678110154,-15237.830836649126,-9141.88377009529,-9141.88377009529,-15237.830836649126,-27202.22781316522,-30148.5886723994,-30148.5886723994,-1146170.234509156,-22923.404690183117,0
Oceania,2020-01-13,43202462,-70.90824213457445,195.09648497074676,195.09648497074676,68.26109944525629,-70.90824213457445,-394.8769799015603,-394.8769799015603,0,0,0
European Union,2020-01-13,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-13,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-20,655805524,112.71807806762128,210.67393400857662,210.67393400857662,123.70530548152485,-23.7412711568541,-143.82691782768097,-143.82691782768097,0,0,0
Asia,2020-01-20,4678110154,-23444.639285138648,-14445.099978495258,-14445.099978495258,-23444.639285138648,-39519.67089022132,-43142.308891975685,-43142.308891975685,-1689653.7754632726,-33793.07550926545,0
Oceania,2020-01-20,43202462,-122.59431152242782,209.88510120702554,209.88510120702554,71.0498886438095,-122.59431152242782,-525.0353189595264,-525.0353189595264,0,0,0
European Union,2020-01-20,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-20,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-27,655805524,-499.57026290191766,-359.2437605588462,-359.2437605588462,-477.67388626991715,-672.0105601764178,-805.5605942398773,-805.5605942398773,-28882.380030337405,-627.8778267464652,0
Asia,2020-01-27,4678110154,-26767.114983309923,-19537.322808243563,-19537.322808243563,-26611.704541071435,-49544.8894887989,-55322.40057354107,-55322.40057354107,-1997845.9271783046,-39956.91854356609,0
Oceania,2020-01-27,43202462,-296.64939542833145,109.36705052045902,109.36705052045902,-60.58537653950362,-297.99556160880473,-751.7560767438747,-751.7560767438747,-2052.3712316438227,-97.73196341161062,0
European Union,2020-01-27,447045744,-3554.6380848984954,-3554.6380848984954,-3554.6380848984954,-3554.6380848984954,-3554.6380848984954,-3554.6380848984954,-3554.6380848984954,-95975.22829225937,-3554.6380848984954,0
North America,2020-01-27,370982987,-925.431987623493,-925.431987623493,-925.431987623493,-925.431987623493,-925.431987623493,-925.431987623493,-925.431987623493,-1850.863975246986,-925.431987623493,0
Latin America and Caribbean,2020-02-03,655805524,-167.0176055978535,8.120071102827245,8.120071102827245,-115.74559948535031,-397.3729803865705,-501.3301254241029,-501.3301254241029,-13277.839834502867,-288.64869205441005,0
Asia,2020-02-03,4678110154,-19972.45111725648,-10586.821206621351,-10586.821206621351,-17678.617131971656,-48512.365483496586,-58073.44357063373,-58073.44357063373,-1764081.4690334285,-35281.62938066857,343
Oceania,2020-02-03,43202462,-428.38181234623573,80.79591025712642,80.79591025712642,-156.79470840767547,-449.1713815564811,-970.1752582441908,-970.1752582441908,-4004.5918514967543,-190.69485007127406,0
European Union,2020-02-03,447045744,-8981.546924339023,-8981.546924339023,-8981.546924339023,-8981.546924339023,-8981.546924339023,-8981.546924339023,-8981.546924339023,-242501.76695715362,-8981.546924339023,0
North America,2020-02-03,370982987,-1597.7806419137878,-1597.7806419137878,-1597.7806419137878,-1597.7806419137878,-1597.7806419137878,-1597.7806419137878,-1597.7806419137878,-3195.5612838275756,-1597.7806419137878,0
Latin America and Caribbean,2020-02-10,655805524,-288.88281518167906,-66.35262608588809,-66.35262608588809,-225.8266988558541,-594.2071116581727,-666.4113293956523,-666.4113293956523,-19146.866305335214,-416.2362240290263,0
Asia,2020-02-10,4678110154,-22999.165803507465,-8867.734762357502,-8867.734762357502,-16520.35180125037,-59324.471010907604,-70726.42149130166,-70726.42149130166,-2077011.6704855803,-41540.2334097116,929.999
Oceania,2020-02-10,43202462,-465.00120049732936,152.2592966687069,152.2592966687069,-112.43009152243167,-499.7725651413679,-1093.6202327256754,-1093.6202327256754,-3736.0624713496964,-177.90773673093796,0
European Union,2020-02-10,447045744,-13765.455763779584,-13765.455763779584,-13765.455763779584,-13765.455763779584,-13765.455763779584,-13765.455763779584,-13765.455763779584,-371667.30562204873,-13765.455763779584,0
North America,2020-02-10,370982987,-2300.462629537396,-2300.462629537396,-2300.462629537396,-2300.462629537396,-2300.462629537396,-2300.462629537396,-2300.462629537396,-4600.925259074792,-2300.462629537396,0
