custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Latin America and Caribbean,2020-01-01,655805524,2.4042029315233008e-4,6.116086332748576e-4,2.4042029315233008e-4,2.4042029315233008e-4,-6.915133737101009e-4,-6.915133737101009e-4,-6.915133737101009e-4,0,0,0
Asia,2020-01-01,4678110154,-0.007833172674732639,-0.007833172674732639,-0.007833172674732639,-0.007833172674732639,-0.023151011889191643,-0.023945555497639406,-0.025867710121803535,-1.0783617362505022,-0.021567234725010046,0
Oceania,2020-01-01,43202462,-0.005509252664872568,0.0036336060315684364,-0.003710074200165094,-0.003710074200165094,-0.005509252664872568,-0.005509252664872568,-0.013805098593341638,0,0,0
European Union,2020-01-01,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-01,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-06,655805524,1.9133963495911876e-4,6.570380383609332e-4,1.9133963495911876e-4,1.9133963495911876e-4,-5.946277260664844e-4,-5.946277260664844e-4,-5.946277260664844e-4,0,0,0
Asia,2020-01-06,4678110154,-0.00725395047215471,-0.00725395047215471,-0.00725395047215471,-0.00725395047215471,-0.0229797008175826,-0.023869784750200577,-0.02564893631584235,-1.0783617362505022,-0.021567234725010046,0
Oceania,2020-01-06,43202462,-0.005512150809619689,0.003416837505156491,-0.0043943833023313995,-0.004696724030426808,-0.005512150809619689,-0.005512150809619689,-0.013356428590312601,0,0,0
European Union,2020-01-06,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-06,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-13,655805524,9.361324815800118e-4,0.0016293021882338623,9.361324815800118e-4,9.361324815800118e-4,6.798786785182502e-4,6.798786785182502e-4,4.158237970888515e-4,0,0,0
Asia,2020-01-13,4678110154,-0.01256191449597928,-0.01256191449597928,-0.01256191449597928,-0.01256191449597928,-0.028661209935158076,-0.028661209935158076,-0.030548286206184667,-1.343378054391759,-0.02686756108783518,0
Oceania,2020-01-13,43202462,-0.005655006916211148,0.00507950975051396,-0.004243633979529402,-0.00448132719263201,-0.005655006916211148,-0.005655006916211148,-0.013630606219171296,0,0,0
European Union,2020-01-13,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-13,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-20,655805524,2.617880806797488e-4,4.7950966017619955e-4,2.617880806797488e-4,2.617880806797488e-4,-4.893708778501229e-4,-4.893708778501229e-4,-4.893708778501229e-4,0,0,0
Asia,2020-01-20,4678110154,-0.018785611564498973,-0.018785611564498973,-0.018785611564498973,-0.018785611564498973,-0.03381884454665802,-0.03542519353881518,-0.03865700224751112,-1.6596553585682856,-0.03319310717136571,0
Oceania,2020-01-20,43202462,-0.012901141892698986,0.0015970061290852297,-0.003987394318357323,-0.005672073390557071,-0.012901141892698986,-0.012901141892698986,-0.014458308133882812,0,0,0
European Union,2020-01-20,447045744,0,0,0,0,0,0,0,0,0,0
North America,2020-01-20,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-27,655805524,-0.013133396174019145,-0.013133396174019145,-0.013133396174019145,-0.013133396174019145,-0.01432716127595508,-0.01432716127595508,-0.01432716127595508,-0.6291582091108157,-0.013677352371974254,0
Asia,2020-01-27,4678110154,-0.0038958954673128975,-7.003663053283696e-4,-7.003663053283696e-4,-7.003663053283696e-4,-0.0038958954673128975,-0.021414137251816574,-0.030690746885897076,-0.941137527669354,-0.01882275055338708,0
Oceania,2020-01-27,43202462,-0.05485991808624341,-0.04087805708812892,-0.0494189302098119,-0.0494189302098119,-0.05485991808624341,-0.05485991808624341,-0.055989845813498695,-0.6786555132779976,-0.03231692920371417,0
