custom_regions,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Latin America and Caribbean,2020-01-01,655799753,-0.0016106705121607795,0.008303891586850347,0.007815254715761683,0.004087843331857926,-0.002630568425969278,-0.006198250510590998,-0.00865272640041451,0,0,0
Asia,2020-01-01,4678110154,-0.06113310147158143,-0.02706078688486016,-0.035772218355057145,-0.06113310147158143,-0.1479051383246885,-0.19146457173010525,-0.2083608797692868,-7.548532153753518,-0.15097064307507033,0
Oceania,2020-01-01,43198762,0.006902736617531743,0.1778119367421323,0.14762812387679292,0.03405777580066603,-0.035352081077247195,-0.08085690806582757,-0.08670064309705126,0,0,0
European Union,2020-01-01,447199451,-1.671043562440511e-5,3.314067699779068e-5,-3.365612895065874e-6,-1.671043562440511e-5,-2.9837576957651805e-4,-4.584772611149556e-4,-5.0084657854379e-4,0,0,0
North America,2020-01-01,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-06,655799753,5.901070948073103e-4,0.031218195356437696,0.027383567547622657,0.014675955004643098,-0.002184177281735059,-0.012030703713554417,-0.01341590912041732,0,0,0
Asia,2020-01-06,4678110154,-0.12222409736262203,-0.06515008058931636,-0.0925243232170405,-0.12222409736262203,-0.2976932111674273,-0.3819064334077215,-0.4152006679573146,-15.097064307507036,-0.30194128615014065,0
Oceania,2020-01-06,43198762,0.013805473235063486,0.3700719283896245,0.2953221707211396,0.06805967485528738,-0.05630926966890771,-0.14102435583882644,-0.15661079104459988,0,0,0
European Union,2020-01-06,447199451,-1.671043562440511e-5,3.314067699779068e-5,-3.365612895065874e-6,-1.671043562440511e-5,-2.9837576957651805e-4,-4.584772611149556e-4,-5.0084657854379e-4,0,0,0
North America,2020-01-06,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-13,655799753,0.00792315490064509,0.08178203758796906,0.07739422552261153,0.04504485107734744,0.0032799048603272406,-0.017823752791368067,-0.026684111359631654,0,0,0
Asia,2020-01-13,4678110154,-0.23903351891280292,-0.13893547610761361,-0.17704606612736315,-0.23903351891280292,-0.48682307626853555,-0.6103522562824542,-0.6592444758877211,-24.50071068824935,-0.49001421376498683,0
Oceania,2020-01-13,43198762,0.02101947933338084,0.5693529723768128,0.44318435301274556,0.10951084528261745,-0.08323649978736491,-0.2113672274885152,-0.25155257249659485,0,0,0
European Union,2020-01-13,447199451,-1.671043562440511e-5,3.314067699779068e-5,-3.365612895065874e-6,-1.671043562440511e-5,-2.9837576957651805e-4,-4.584772611149556e-4,-5.0084657854379e-4,0,0,0
North America,2020-01-13,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-20,655799753,0.009742889812645135,0.09650972184507862,0.0876375110838422,0.05292268346171588,0.004266670399480405,-0.025569553670544226,-0.034605095425889076,0,0,0
Asia,2020-01-20,4678110154,-0.40999399701773315,-0.25816710760047423,-0.2916191209847185,-0.40999399701773315,-0.7132957803828001,-0.9350154771727462,-0.9641019178447644,-36.11829819822735,-0.7223659639645469,0
Oceania,2020-01-20,43198762,0.03108832904036037,0.7246294713144269,0.575145703984334,0.14592811283423113,-0.10590167027687371,-0.27866365451592195,-0.3351200730371828,0,0,0
European Union,2020-01-20,447199451,-1.671043562440511e-5,3.314067699779068e-5,-3.365612895065874e-6,-1.671043562440511e-5,-2.9837576957651805e-4,-4.584772611149556e-4,-5.0084657854379e-4,0,0,0
North America,2020-01-20,370982987,0,0,0,0,0,0,0,0,0,0
Latin America and Caribbean,2020-01-27,655799753,-0.08504187024198875,0.02001937818518861,0.007160548353231029,-0.03597640321385054,-0.0938976024377477,-0.129812641502051,-0.1384175934633926,-4.356141734167987,-0.09680314964817748,0
Asia,2020-01-27,4678110154,-0.490051118424463,-0.1966200764645934,-0.27341531178922907,-0.490051118424463,-0.8597010802017176,-1.1454019233328099,-1.1843426162164448,-42.85505712889115,-0.857101142577823,0
Oceania,2020-01-27,43198762,-0.050783374827336976,0.7289223059370177,0.5871932811676085,0.12468685562816205,-0.2277838073787583,-0.4011043715322983,-0.4793942561595317,-0.5426865522070349,-0.025842216771763567,0
European Union,2020-01-27,447199451,-0.7955481617542798,-0.7954983106416574,-0.7955348169315504,-0.7955481617542798,-0.7958298270882318,-0.7959899285797702,-0.796032297897199,-21.479349185603695,-0.7955314513186552,0
North America,2020-01-27,370982987,-0.24964250873956356,-0.24964250873956356,-0.24964250873956356,-0.24964250873956356,-0.24964250873956356,-0.24964250873956356,-0.24964250873956356,-0.4992850174791271,-0.24964250873956356,0
Latin America and Caribbean,2020-02-03,655799753,-0.03369622703352111,0.08181609406318446,0.07424404801911598,0.021066539396308384,-0.04813241269007387,-0.08778476658015558,-0.10421277081688482,-2.0904541656127087,-0.046454537013615745,0
Asia,2020-02-03,4678110154,-0.33099654393791705,0.08594173220425913,0.03512191802181191,-0.2997911831794457,-0.7699369340024828,-1.185186578183469,-1.244799265326741,-37.95328928701184,-0.7590657857402369,0.007332020596110145
Oceania,2020-02-03,43198762,-0.11947181423386771,0.8428371263234691,0.5173306298821634,0.13148568415909037,-0.3461128367471411,-0.5374296191537099,-0.5898469245280679,-0.9434694734931751,-0.04492711778538929,0
European Union,2020-02-03,447199451,-2.008720943897912,-2.0086710927852898,-2.008707599075183,-2.008720943897912,-2.0090026092318642,-2.0091627107234027,-2.0092050800408314,-54.235014303481776,-2.0087042334622875,0
North America,2020-02-03,370982987,-0.43126752282963965,-0.43126752282963965,-0.43126752282963965,-0.43126752282963965,-0.43126752282963965,-0.43126752282963965,-0.43126752282963965,-0.8625350456592793,-0.43126752282963965,0
Latin America and Caribbean,2020-02-10,655799753,-0.04343621651088287,0.09376430315951079,0.0706514276849713,0.007953294444649789,-0.07862923027852155,-0.1276510361186847,-0.1344449386663815,-3.0623021256809584,-0.06805115834846574,0
Asia,2020-02-10,4678110154,-0.38718246000931883,0.18985050259615874,0.06718942256154142,-0.33350628890298645,-0.9697024197991828,-1.3826592397483062,-1.515330958325783,-44.738640992674824,-0.8947728198534964,0.019879801231375623
Oceania,2020-02-10,43198762,0.05027069037290723,1.2284169022896863,0.7849739621821124,0.3871217344554049,-0.21599245450199728,-0.45475952155181976,-0.49708167970787376,3.411670934690158,0.16246052069953137,0
European Union,2020-02-10,447199451,-3.0781100074877465,-3.0780601563751246,-3.078096662665017,-3.0781100074877465,-3.078391672821699,-3.078551774313237,-3.0785941436306663,-83.1085190204073,-3.0780932970521224,0
North America,2020-02-10,370982987,-0.6194516876586931,-0.6194516876586931,-0.6194516876586931,-0.6194516876586931,-0.6194516876586931,-0.6194516876586931,-0.6194516876586931,-1.2389033753173861,-0.6194516876586931,0
Latin America and Caribbean,2020-02-17,655799753,-0.08620436320733155,0.06723354643276776,0.029018705545619035,-0.03695860066591998,-0.14311576397208517,-0.20184754214452902,-0.2066403861679384,-5.62015251292608,-0.12489227806502402,0
Asia,2020-02-17,4678110154,-0.5272740913954095,0.2096915879917129,0.052233259940008374,-0.379199221155478,-1.2503159021276469,-1.749323908203453,-1.914998147569305,-57.284376603920336,-1.1456875320784068,0.03813503618495598
Oceania,2020-02-17,43198762,0.16117540964777846,1.5701422758765615,1.0355092286538985,0.5480248683488579,-0.16549486458009205,-0.40763434505175355,-0.5040708468157834,6.405661224728916,0.3050314868918532,0
European Union,2020-02-17,447199451,-4.7296405132264745,-4.729590662113853,-4.729627168403745,-4.7296405132264745,-4.729922178560427,-4.730082280051965,-4.730124649369395,-127.69984267535297,-4.72962380279085,2.238374840938702e-4
North America,2020-02-17,370982987,-0.6433201413380618,-0.6433201413380618,-0.6433201413380618,-0.6433201413380618,-0.6433201413380618,-0.6433201413380618,-0.6433201413380618,-1.2866402826761236,-0.6433201413380618,0
Latin America and Caribbean,2020-02-24,655799753,-0.20654454178870613,-0.06310676575807601,-0.08399438362576973,-0.16644355235578032,-0.2859672874167224,-0.3439916491536215,-0.3548039189589718,-11.454805846365671,-0.25455124103034826,0
Asia,2020-02-24,4678110154,-0.6562854488663834,0.26399580042710225,0.14385730982778278,-0.5393560845962649,-1.5590500420915303,-2.1985624768183802,-2.295240032497325,-68.37024070571978,-1.3674048141143955,0.054209967626170606
Oceania,2020-02-24,43198762,0.3634630568194578,1.998093084502531,1.3842289143448037,0.8459652017196848,0.01355149920873876,-0.2691385127918697,-0.36983885210808876,11.499723076378865,0.5476058607799461,0
