continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
"W. Europe, NA, and Aus/NZ",2020-01-01,1062311981,-0.055435347135275,0.012363064960170186,-0.006619874381730096,-0.009690955600710184,-0.055435347135275,-0.055435347135275,-0.055435347135275,0,0,0
"W. Europe, NA, and Aus/NZ",2020-01-06,1062311981,-0.055435347135275,0.012366172816800186,-0.0064280797558200955,-0.009493718460120185,-0.055435347135275,-0.055435347135275,-0.055435347135275,0,0,0
"W. Europe, NA, and Aus/NZ",2020-01-13,1062311981,-0.055435347135275,0.012358155435240185,-0.006375501386580095,-0.009733570301970185,-0.055435347135275,-0.055435347135275,-0.055435347135275,0,0,0
"W. Europe, NA, and Aus/NZ",2020-01-20,1062311981,-0.08308357992594917,-0.016672379193630144,-0.016672379193630144,-0.016672379193630144,-0.08308357992594917,-0.08308357992594917,-0.08308357992594917,0,0,0
"W. Europe, NA, and Aus/NZ",2020-01-27,1062311981,-913.5889451011035,-913.5326583849615,-913.5402193304458,-913.5402193304458,-913.5889451011035,-913.5987342664769,-913.6564974260497,-42019.66445679058,-913.4709664519692,0
"W. Europe, NA, and Aus/NZ",2020-02-03,1062311981,-1093.3649320796217,-1093.3025658269337,-1093.3170376333997,-1093.3170376333997,-1093.3649320796217,-1093.3649320796217,-1093.4776153390299,-50289.94839132054,-1093.259747637403,0
"W. Europe, NA, and Aus/NZ",2020-02-10,1062311981,-1082.1949093771073,-1082.1174879101438,-1082.1174879101438,-1082.1174879101438,-1082.1949093771073,-1082.1949093771073,-1082.3113784486275,-49775.7341056064,-1082.081176208835,0
"W. Europe, NA, and Aus/NZ",2020-02-17,1062311981,-1389.0984632659456,-1389.0579543641018,-1389.0579543641018,-1389.0579543641018,-1389.0984632659456,-1389.0984632659456,-1389.2075987174005,-63894.66743893989,-1389.0145095421715,0.143
"W. Europe, NA, and Aus/NZ",2020-02-24,1062311981,-1278.4387037173362,-1278.4029770886777,-1278.4062391235798,-1278.4062391235798,-1278.4387037173362,-1278.4387037173362,-1278.5683227512914,-58803.917913476675,-1278.346041597319,1
"W. Europe, NA, and Aus/NZ",2020-03-02,1062311981,-801.5040871531371,-801.41844668878,-801.41844668878,-801.41844668878,-801.5040871531371,-801.5040871531371,-801.6785933622635,-36863.28490575768,-801.3757588208191,7.715
"W. Europe, NA, and Aus/NZ",2020-03-09,1062311981,559.0588320655414,559.142165692483,559.1298832666557,559.1298832666557,559.0588320655414,559.0588320655414,558.916687476066,25722.606522813585,559.1870983220344,70.145
"W. Europe, NA, and Aus/NZ",2020-03-16,1062311981,2502.7361548280087,2502.8044370447433,2502.7361548280087,2502.7361548280087,2502.7275931869735,2502.666242510353,2502.5800004402777,115130.44080852873,2502.8356697506247,340.43
"W. Europe, NA, and Aus/NZ",2020-03-23,1062311981,5344.704961040889,5344.7254141940975,5344.704961040889,5344.704961040889,5344.668550819432,5344.668550819432,5344.606890365914,245860.60080852802,5344.795669750609,1189.142
"W. Europe, NA, and Aus/NZ",2020-03-30,1062311981,8416.550203675572,8416.621947430385,8416.550267634575,8416.550203675572,8416.54405088491,8416.54405088491,8416.421781761204,387155.777951385,8416.429955464891,3009.428
"W. Europe, NA, and Aus/NZ",2020-04-06,1062311981,9228.571034059225,9228.60234537186,9228.571034059225,9228.571034059225,9228.548330187763,9228.548330187763,9228.443535299244,424507.7850174383,9228.430109074745,5203.572
"W. Europe, NA, and Aus/NZ",2020-04-13,1062311981,8291.994987070968,8292.148954841245,8292.145137048821,8292.145137048821,8291.994987070968,8291.994987070968,8291.994987070968,381415.11644600896,8291.632966217587,6262.573
"W. Europe, NA, and Aus/NZ",2020-04-20,1062311981,6831.06647676929,6831.3971538403,6831.06647676929,6831.06647676929,6831.010072375714,6831.010072375714,6830.959258662023,314175.8650174378,6829.9101090747345,5970.286
"W. Europe, NA, and Aus/NZ",2020-04-27,1062311981,5064.900034174495,5065.082671281154,5065.082671281154,5065.082671281154,5064.900034174495,5064.900034174495,5064.8468736376035,232948.5393031526,5064.098680503317,5082.144
