continent_alt,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
W. Europe,2020-01-01,530152257,-0.055435347135275,0.012363064960170186,-0.006619874381730096,-0.009690955600710184,-0.055435347135275,-0.055435347135275,-0.055435347135275,0,0,0
W. Europe,2020-01-06,530152257,-0.055435347135275,0.012366172816800186,-0.0064280797558200955,-0.009493718460120185,-0.055435347135275,-0.055435347135275,-0.055435347135275,0,0,0
W. Europe,2020-01-13,530152257,-0.055435347135275,0.012358155435240185,-0.006375501386580095,-0.009733570301970185,-0.055435347135275,-0.055435347135275,-0.055435347135275,0,0,0
W. Europe,2020-01-20,530152257,-0.08308357992594917,-0.016672379193630144,-0.016672379193630144,-0.016672379193630144,-0.08308357992594917,-0.08308357992594917,-0.08308357992594917,0,0,0
W. Europe,2020-01-27,530152257,-607.1020695662995,-607.0457828501575,-607.0533437956418,-607.0533437956418,-607.1020695662995,-607.1118587316729,-607.1696218912457,-24886.347727603774,-606.9840909171652,0
W. Europe,2020-02-03,530152257,-910.3566279733918,-910.2942617207038,-910.3087335271698,-910.3087335271698,-910.3566279733918,-910.3566279733918,-910.4693112327999,-37320.309184778096,-910.2514435311731,0
W. Europe,2020-02-10,530152257,-792.222319556593,-792.1448980896295,-792.1448980896295,-792.1448980896295,-792.222319556593,-792.222319556593,-792.3387886281131,-32476.45204192114,-792.1085863883205,0
W. Europe,2020-02-17,530152257,-1177.6449210644766,-1177.604412162633,-1177.604412162633,-1177.604412162633,-1177.6449210644766,-1177.6449210644766,-1177.7540565159316,-48279.9996609688,-1177.5609673407025,0.143
W. Europe,2020-02-24,530152257,-1102.8556419005163,-1102.8199152718578,-1102.82317730676,-1102.82317730676,-1102.8556419005163,-1102.8556419005163,-1102.9852609344716,-45213.282171000465,-1102.762979780499,1
W. Europe,2020-03-02,530152257,-698.6969793684173,-698.6113389040602,-698.6113389040602,-698.6113389040602,-698.6969793684173,-698.6969793684173,-698.8714855775437,-28641.314692480068,-698.5686510360993,6.715
W. Europe,2020-03-09,530152257,637.0173684216928,637.1007020486343,637.0884196228071,637.0884196228071,637.0173684216928,637.0173684216928,636.8752238322174,26122.97102180562,637.1456346781858,67.42999999999999
W. Europe,2020-03-16,530152257,2489.4746911841535,2489.542973400888,2489.4746911841535,2489.4746911841535,2489.4661295431183,2489.404778866498,2489.3185367964224,102072.54245037754,2489.5742061067695,329.287
W. Europe,2020-03-23,530152257,4543.60349739704,4543.623950550248,4543.60349739704,4543.60349739704,4543.567087175583,4543.567087175583,4543.505426722066,186291.46245037712,4543.694206106759,1085.4289999999999
W. Europe,2020-03-30,530152257,6236.837311460299,6236.909055215112,6236.837375419302,6236.837311460299,6236.831158669638,6236.831158669638,6236.708889545931,255705.39959323435,6236.717063249618,2493.285
W. Europe,2020-04-06,530152257,5856.669570415366,5856.700881728002,5856.669570415366,5856.669570415366,5856.646866543903,5856.646866543903,5856.542071655385,240117.6744626663,5856.528645430885,3668.143
W. Europe,2020-04-13,530152257,4945.462094855696,4945.616062625972,4945.612244833549,4945.612244833549,4945.462094855696,4945.462094855696,4945.462094855696,202749.10303409482,4945.100074002313,3964.145
W. Europe,2020-04-20,530152257,3478.856441696861,3479.187118767872,3478.856441696861,3478.856441696861,3478.800037303286,3478.800037303286,3478.7492235895943,142585.70303409453,3477.700074002306,3550.143
W. Europe,2020-04-27,530152257,2150.1499991020637,2150.332636208723,2150.332636208723,2150.332636208723,2150.1499991020637,2150.1499991020637,2150.0968385651718,88123.29446266634,2149.3486454308863,2786.0009999999997
