World_Bank_income_group,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
High income,2020-01-01,1241318333,6.250326554106495,6.73993993639014,6.250326554106495,6.250326554106495,-2.994974123260626,-5.57135712214769,-6.925618213442573,0,0,0
Low income,2020-01-01,704080579,180.99921494466238,255.4825741677869,191.33006413739932,180.99921494466238,-16.95284336925999,-100.39926013230465,-120.46625665882235,0,0,0
Lower middle income,2020-01-01,2994738553,847.9661844238738,888.4678871475603,847.9661844238738,847.9661844238738,-0.3526807763856112,-409.74799199429106,-443.649212616305,0,0,0
Unknown income group,2020-01-01,253139,-0.1363945094807598,0.2792593210168702,0.13050847768168053,0.0038930957928195293,-0.1363945094807598,-0.15308408318968023,-0.18002661564830044,0,0,0
Upper middle income,2020-01-01,2928412447,-938.7195324991065,-842.04962186489945,-905.2984439518258,-938.7195324991065,-1023.8851719546163,-1070.2862120545071,-1110.3615765801092,-54482.70587081629,-1008.938997607709,0
High income,2020-01-06,1241318333,6.253952976499905,7.023621921745983,6.31033804556143,6.253952976499905,-2.669807584844449,-5.285915435273282,-6.592966415556992,0,0,0
Low income,2020-01-06,704080579,182.42765561801772,245.4318446978982,182.42765561801772,182.42765561801772,-17.9374125154782,-90.41585015060036,-122.0268685453594,0,0,0
Lower middle income,2020-01-06,2994738553,847.113849332826,847.113849332826,847.113849332826,847.113849332826,-24.96429403503878,-406.4350750960719,-444.6935851684461,0,0,0
Unknown income group,2020-01-06,253139,-0.1429274866492698,0.29928503979980026,0.1732860101501411,0.019139667433709616,-0.1429274866492698,-0.1595923519806208,-0.17952212204186044,0,0,0
Upper middle income,2020-01-06,2928412447,-935.4335049827206,-866.2367276603101,-882.0445681948554,-935.4335049827206,-1013.921664156898,-1064.5203044206166,-1071.3392620471798,-54482.70587081629,-1008.938997607709,0
