World_Bank_income_group,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
High income,2020-01-01,1241193758,-46.183921284315495,14.237853051209692,14.237853051209692,-3.31750124683506,-46.183921284315495,-86.76681214665496,-86.76681214665496,0,0,0
Low income,2020-01-01,704080579,281.86541038388685,815.9428961452555,815.9428961452555,700.9098639648993,281.86541038388685,-452.29644693877333,-452.29644693877333,0,0,0
Lower middle income,2020-01-01,2994738553,3229.8142446148154,4843.802520573866,4843.802520573866,3229.8142446148154,-835.8333539466327,-3084.830628322669,-3084.830628322669,0,0,0
Unknown income group,2020-01-01,258910,-1.2056326401937956,0.46847365836362076,0.46847365836362076,0.3238146480163005,-1.2056326401937956,-1.2056326401937956,-1.2056326401937956,0,0,0
Upper middle income,2020-01-01,2928412447,-6477.5701789398245,-5771.071776333759,-5771.071776333759,-6477.5701789398245,-7140.061778309037,-7203.095083362099,-7203.095083362099,-381378.941095714,-7062.572983253963,0
High income,2020-01-06,1241193758,-92.36905762550339,29.557285335720316,29.557285335720316,-5.8586047948091355,-92.36905762550339,-174.03675994151945,-174.03675994151945,0,0,0
Low income,2020-01-06,704080579,563.4153343885607,1687.5979063024301,1687.5979063024301,1414.317914256169,563.4153343885607,-894.7482759764159,-894.7482759764159,0,0,0
Lower middle income,2020-01-06,2994738553,6446.217580506232,9729.675748698231,9729.675748698231,6446.217580506232,-1748.8881740902862,-6128.127995761412,-6128.127995761412,0,0,0
Unknown income group,2020-01-06,258910,-2.4138121680963414,0.9520962560773315,0.9520962560773315,0.7750382905126436,-2.4138121680963414,-2.4138121680963414,-2.4138121680963414,0,0,0
Upper middle income,2020-01-06,2928412447,-12962.158603235312,-11468.395016479604,-11468.395016479604,-12962.158603235312,-14262.049824434656,-14376.515062204007,-14376.515062204007,-762757.882191428,-14125.145966507926,0
High income,2020-01-13,1241193758,-138.49772431531807,45.20674145800869,45.20674145800869,-8.564795129351902,-138.49772431531807,-256.9712833653728,-256.9712833653728,0,0,0
Low income,2020-01-13,704080579,849.3974457744075,2580.0557164803868,2580.0557164803868,2122.6559054209956,849.3974457744075,-1356.8842094787417,-1356.8842094787417,0,0,0
Lower middle income,2020-01-13,2994738553,9474.687587656632,14437.632386279038,14437.632386279038,9474.687587656632,-2878.3742741084766,-9233.440940870934,-9233.440940870934,0,0,0
Unknown income group,2020-01-13,258910,-3.624763641300817,1.7265730137160937,1.7265730137160937,0.9672464780802549,-3.624763641300817,-3.624763641300817,-3.624763641300817,0,0,0
Upper middle income,2020-01-13,2928412447,-21104.76015206354,-18949.934174642203,-18949.934174642203,-21104.76015206354,-23194.43902110637,-23308.810927546256,-23308.810927546256,-1237863.8532698886,-22923.404690183117,0
High income,2020-01-20,1241193758,-184.89344101235503,36.15848446497788,36.15848446497788,-14.046506240192027,-184.89344101235503,-362.6098313205066,-362.6098313205066,0,0,0
Low income,2020-01-20,704080579,205.94321012707434,4007.5701113403707,4007.5701113403707,2620.6648236778037,205.94321012707434,-2633.2401983149534,-2633.2401983149534,0,0,0
Lower middle income,2020-01-20,2994738553,11445.312474314971,18474.32753357046,18474.32753357046,11445.312474314971,-3645.1561913058395,-13552.168005631213,-13552.168005631213,0,0,0
Unknown income group,2020-01-20,258910,-5.112644076710576,2.084634731670601,2.084634731670601,0.5720035285560467,-5.112644076710576,-5.112644076710576,-5.112644076710576,0,0,0
Upper middle income,2020-01-20,2928412447,-31400.02186332886,-28294.86205629928,-28294.86205629928,-31400.02186332886,-34098.71388140584,-34386.85137687275,-34386.85137687275,-1824826.0775003345,-33793.07550926545,0
High income,2020-01-27,1241193758,-7048.961707515695,-6782.502022828961,-6782.502022828961,-6835.175629109053,-7048.961707515695,-7305.843688410561,-7305.843688410561,-524340.7305639852,-6809.619877454352,0
Low income,2020-01-27,704080579,510.8322300718862,5328.858618888544,5328.858618888544,3763.546940227861,348.8100491402598,-2775.5625362075475,-2775.5625362075475,2682.230058063886,92.49069165737538,0
Lower middle income,2020-01-27,2994738553,13781.434157495964,18099.781320148482,18099.781320148482,13781.434157495964,-6661.7355643549145,-22074.433416092357,-22074.433416092357,-48543.44498436076,-970.8688996872152,0
Unknown income group,2020-01-27,258910,-6.9480558688006075,0.5022601806403812,0.5022601806403812,-1.9105689216849957,-6.9480558688006075,-7.667886044165324,-7.667886044165324,0,0,0
Upper middle income,2020-01-27,2928412447,-37310.11946436497,-32962.7939917553,-32962.7939917553,-35332.64279395117,-40707.96108472304,-41748.6764945775,-41748.6764945775,-2177893.659604766,-40331.364066754926,0
High income,2020-02-03,1241193758,-15475.885225376593,-15173.743742835768,-15173.743742835768,-15224.291348289371,-15543.777694072221,-15846.529210423969,-15846.529210423969,-1169278.1302418169,-15185.430262880738,0
Low income,2020-02-03,704080579,923.829098201095,6813.304161332741,6813.304161332741,5097.921929041345,776.2396421358699,-2973.5558157081905,-2973.5558157081905,5364.460116127772,184.98138331475076,0
Lower middle income,2020-02-03,2994738553,15520.198475560113,22242.43296638128,22242.43296638128,15520.198475560113,-13377.535248613394,-32176.338102878104,-32176.338102878104,-102162.77196723387,-2043.2554393446776,0
Unknown income group,2020-02-03,258910,-8.689894031453099,-0.964705699051708,-0.964705699051708,-2.8589595457323673,-8.689894031453099,-11.524321131170806,-11.524321131170806,0,0,0
