World_Bank_income_group,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
High income,2020-01-01,1241193758,-4.58754586618687e-4,1.3410437522102278e-4,-4.083997897651138e-5,-4.58754586618687e-4,-8.027487470114422e-4,-8.027487470114422e-4,-8.027487470114422e-4,0,0,0
Low income,2020-01-01,704080579,0.013055322312865924,0.013055322312865924,0.013055322312865924,0.013055322312865924,0.005801543624558608,0.0021848226939033535,-0.019744072281110407,0,0,0
Lower middle income,2020-01-01,2994738553,0.02662791720924588,0.02662791720924588,0.02662791720924588,0.02662791720924588,0.002952908248654559,-0.0034367346262364432,-0.008762488250479861,0,0,0
Unknown income group,2020-01-01,258910,-0.057835487962830695,0.01623545796400299,9.159303088562527e-4,-0.01614270199173474,-0.057835487962830695,-0.057835487962830695,-0.057835487962830695,0,0,0
Upper middle income,2020-01-01,2928412447,-0.031126563107038974,-0.031126563107038974,-0.031126563107038974,-0.031126563107038974,-0.03687798907368485,-0.03687798907368485,-0.03687798907368485,-1.8604860775889294,-0.03445344588127647,0
High income,2020-01-06,1241193758,-4.586003264532206e-4,1.398598839891228e-4,-3.637733355507753e-5,-4.586003264532206e-4,-7.945159496466098e-4,-7.945159496466098e-4,-7.945159496466098e-4,0,0,0
Low income,2020-01-06,704080579,0.013057779411982245,0.013057779411982245,0.013057779411982245,0.013057779411982245,0.005815477793260638,0.002399602767689503,-0.018802962796602776,0,0,0
Lower middle income,2020-01-06,2994738553,0.026553500826752393,0.026553500826752393,0.026553500826752393,0.026553500826752393,0.0032777747025828797,-0.0033830249528636353,-0.008619805259366523,0,0,0
Unknown income group,2020-01-06,258910,-0.057835487962830695,0.016767312921223656,8.260676518248528e-4,-0.014407777009049636,-0.057835487962830695,-0.057835487962830695,-0.057835487962830695,0,0,0
Upper middle income,2020-01-06,2928412447,-0.030140998950306953,-0.030140998950306953,-0.030140998950306953,-0.030140998950306953,-0.0365855920517119,-0.0365855920517119,-0.0365855920517119,-1.8604860775889294,-0.03445344588127647,0
High income,2020-01-13,1241193758,-4.586031068293425e-4,1.2928280612266367e-4,-3.4682676510321474e-5,-4.586031068293425e-4,-7.900687511526145e-4,-7.900687511526145e-4,-7.900687511526145e-4,0,0,0
Low income,2020-01-13,704080579,0.013140313077890587,0.013140313077890587,0.013140313077890587,0.013140313077890587,0.005599171318382143,0.00222615288648153,-0.020021682401868343,0,0,0
Lower middle income,2020-01-13,2994738553,0.026511936475299546,0.026511936475299546,0.026511936475299546,0.026511936475299546,0.0024660679215118444,-0.0027552703388452533,-0.00852963249759047,0,0,0
Unknown income group,2020-01-13,258910,-0.05585962550637867,0.0162441512567419,0.001702345262940764,-0.013849540412359668,-0.05585962550637867,-0.05585962550637867,-0.05585962550637867,0,0,0
Upper middle income,2020-01-13,2928412447,-0.03844499168139023,-0.03844499168139023,-0.03844499168139023,-0.03844499168139023,-0.04494656233282248,-0.04494656233282248,-0.04494656233282248,-2.3177159232528424,-0.04292066524542301,0
