World_Bank_income_group,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
High income,2020-01-01,1241193758,-0.003211282106330809,9.387306265471595e-4,-2.8587985283557967e-4,-0.003211282106330809,-0.005619241229080096,-0.005619241229080096,-0.005619241229080096,0,0,0
Low income,2020-01-01,704080579,0.09138725619006147,0.09138725619006147,0.09138725619006147,0.09138725619006147,0.04061080537191025,0.015293758857323474,-0.13820850596777284,0,0,0
Lower middle income,2020-01-01,2994738553,0.18639542046472118,0.18639542046472118,0.18639542046472118,0.18639542046472118,0.02067035774058191,-0.0240571423836551,-0.06133741775335903,0,0,0
Unknown income group,2020-01-01,258910,-0.40484841573981484,0.11364820574802091,0.0064115121619937685,-0.11299891394214316,-0.40484841573981484,-0.40484841573981484,-0.40484841573981484,0,0,0
Upper middle income,2020-01-01,2928412447,-0.21788594174927284,-0.21788594174927284,-0.21788594174927284,-0.21788594174927284,-0.25814592351579396,-0.25814592351579396,-0.25814592351579396,-13.023402543122504,-0.2411741211689353,0
High income,2020-01-06,1241193758,-0.006421484391503352,0.0019177498144710193,-5.405211877211225e-4,-0.006421484391503352,-0.011180852876606364,-0.011180852876606364,-0.011180852876606364,0,0,0
Low income,2020-01-06,704080579,0.1827917120739372,0.1827917120739372,0.1827917120739372,0.1827917120739372,0.08131914992473471,0.032090978231149994,-0.2698292455439923,0,0,0
Lower middle income,2020-01-06,2994738553,0.3722699262519879,0.3722699262519879,0.3722699262519879,0.3722699262519879,0.04361478065866207,-0.047738317053700546,-0.12167605456892469,0,0,0
Unknown income group,2020-01-06,258910,-0.8096968314796297,0.23101939619658654,0.012193985724767738,-0.2138533530054906,-0.8096968314796297,-0.8096968314796297,-0.8096968314796297,0,0,0
Upper middle income,2020-01-06,2928412447,-0.4288729344014215,-0.4288729344014215,-0.4288729344014215,-0.4288729344014215,-0.5142450678777772,-0.5142450678777772,-0.5142450678777772,-26.04680508624501,-0.4823482423378706,0
High income,2020-01-13,1241193758,-0.00963170613930875,0.002822729457329665,-0.0010996779170058884,-0.00963170613930875,-0.016711334134674665,-0.016711334134674665,-0.016711334134674665,0,0,0
Low income,2020-01-13,704080579,0.2747739036191713,0.2747739036191713,0.2747739036191713,0.2747739036191713,0.12051334915340972,0.05060950112119111,-0.4215148757719729,0,0,0
Lower middle income,2020-01-13,2994738553,0.5578534815790849,0.5578534815790849,0.5578534815790849,0.5578534815790849,0.06087725610924497,-0.06973205201466232,-0.17306940467429172,0,0,0
Unknown income group,2020-01-13,258910,-1.2007142100242805,0.3628833893561236,0.0433332080634986,-0.3108001358920083,-1.2007142100242805,-1.2007142100242805,-1.2007142100242805,0,0,0
Upper middle income,2020-01-13,2928412447,-0.6979878761711531,-0.6979878761711531,-0.6979878761711531,-0.6979878761711531,-0.8288710042075347,-0.8288710042075347,-0.8288710042075347,-42.27081654901492,-0.7827928990558315,0
High income,2020-01-20,1241193758,-0.012858501152084475,0.0041211520571346385,-0.0021172935347658433,-0.012858501152084475,-0.022364513766774514,-0.022364513766774514,-0.022364513766774514,0,0,0
Low income,2020-01-20,704080579,0.3683009434805855,0.3683009434805855,0.3683009434805855,0.3683009434805855,0.15865470727382547,0.05970956344563377,-0.49588109745963854,0,0,0
Lower middle income,2020-01-20,2994738553,0.7440302887894289,0.7440302887894289,0.7440302887894289,0.7440302887894289,0.08672364866787396,-0.07181267747443312,-0.24237885433445316,0,0,0
Unknown income group,2020-01-20,258910,-1.7223851772815182,-0.0817020109401704,-0.33833337685754017,-0.36403765232095775,-1.7223851772815182,-1.7223851772815182,-1.7223851772815182,0,0,0
Upper middle income,2020-01-20,2928412447,-1.0390758863076734,-1.0390758863076734,-1.0390758863076734,-1.0390758863076734,-1.2137981729740401,-1.2137981729740401,-1.2137981729740401,-62.314517183867665,-1.1539725404419936,0
