location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Aruba,2020-01-01,0,0.006,0,-0.02,-0.02,NA,TRUE
Afghanistan,2020-01-01,-9.602,0.038,-6.223,-9.602,-9.602,NA,FALSE
Angola,2020-01-01,11.209,11.209,11.209,5.314,-4.647,NA,FALSE
Anguilla,2020-01-01,-0.008,0,-0,-0.008,-0.008,NA,FALSE
Albania,2020-01-01,0,0.108,0,-0.37,-0.37,NA,TRUE
Andorra,2020-01-01,0,0.009,0,-0.027,-0.027,NA,TRUE
United Arab Emirates,2020-01-01,-0.629,0.326,-0.629,-0.877,-0.877,NA,FALSE
Argentina,2020-01-01,0,0.923,0.923,-9.4,-9.4,NA,TRUE
Armenia,2020-01-01,-0.813,0.097,-0.799,-0.813,-0.813,NA,FALSE
Antigua and Barbuda,2020-01-01,0,0,0,-0.047,-0.047,NA,TRUE
Australia,2020-01-01,0,0,0,-5.253,-5.253,NA,TRUE
Austria,2020-01-01,0,0,0,-2.403,-2.403,NA,TRUE
Azerbaijan,2020-01-01,1.476,1.476,1.476,-3.447,-3.447,NA,FALSE
Burundi,2020-01-01,4.158,4.158,4.158,0.682,-2.949,NA,FALSE
Belgium,2020-01-01,0,0,0,-3.599,-3.599,NA,TRUE
Benin,2020-01-01,2.416,3.525,3.525,2.416,-2.276,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-01,-0.015,0.002,-0.002,-0.015,-0.015,NA,FALSE
Burkina Faso,2020-01-01,5.108,5.108,5.108,3.159,-5.609,NA,FALSE
Bangladesh,2020-01-01,6.653,6.653,6.653,-3.392,-17.095,NA,FALSE
Bulgaria,2020-01-01,0,0,0,-1.495,-1.495,NA,TRUE
Bahrain,2020-01-01,-0.271,0.028,-0.271,-0.529,-0.529,NA,FALSE
Bahamas,2020-01-01,-0.189,-0.021,-0.102,-0.189,-0.189,NA,FALSE
Bosnia,2020-01-01,0,0.084,0.084,-1.135,-1.135,NA,TRUE
Belarus,2020-01-01,0,0.798,0.213,-1.128,-1.128,NA,TRUE
Belize,2020-01-01,0,0,0,-0.135,-0.135,NA,TRUE
Bermuda,2020-01-01,0,0.029,0.003,-0.002,-0.002,NA,TRUE
Bolivia,2020-01-01,0,0.895,0,-1.4,-1.4,NA,TRUE
Brazil,2020-01-01,0,20.267,20.267,-28.252,-28.252,NA,TRUE
Barbados,2020-01-01,0,0,0,-0.133,-0.133,NA,TRUE
Brunei,2020-01-01,0,0.015,0,-0.103,-0.103,NA,TRUE
Bhutan,2020-01-01,-0.249,-0.041,-0.188,-0.249,-0.249,NA,FALSE
Botswana,2020-01-01,-0.525,0.762,0.762,-0.525,-0.525,NA,FALSE
Central African Republic,2020-01-01,0.96,0.96,0.96,-0.912,-1.219,NA,FALSE
Canada,2020-01-01,0,0,0,-11.582,-11.582,NA,TRUE
Switzerland,2020-01-01,0,0,0,-2.607,-2.607,NA,TRUE
Chile,2020-01-01,0,0,0,-5.525,-5.525,NA,TRUE
China,2020-01-01,-1008.939,-376.277,-376.277,-1008.939,-1008.939,NA,TRUE
Ivory Coast,2020-01-01,7.058,7.058,7.058,2.366,-4.344,NA,FALSE
Cameroon,2020-01-01,3.544,3.544,3.544,3.06,-4.098,NA,FALSE
