location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Aruba,2020-01-01,0,0,0,0,0,NA,TRUE
Afghanistan,2020-01-01,-58.586,126.916,32.795,-58.586,-120.804,NA,FALSE
Angola,2020-01-01,15.314,136.169,47.86,-6.667,-59.764,NA,FALSE
Anguilla,2020-01-01,-0.027,0.118,0.014,-0.027,-0.062,NA,FALSE
Albania,2020-01-01,0,0,0,0,0,NA,TRUE
Andorra,2020-01-01,0,0,0,0,0,NA,TRUE
United Arab Emirates,2020-01-01,10.424,13.079,10.424,-3.607,-9.105,NA,FALSE
Argentina,2020-01-01,0,0,0,0,0,NA,TRUE
Armenia,2020-01-01,-2.746,3.82,-0.773,-3.949,-9.66,NA,FALSE
Antigua and Barbuda,2020-01-01,0,0,0,0,0,NA,TRUE
Australia,2020-01-01,0,0,0,0,0,NA,TRUE
Austria,2020-01-01,0,0,0,0,0,NA,TRUE
Azerbaijan,2020-01-01,9.969,9.969,9.969,-4.537,-12.242,NA,FALSE
Burundi,2020-01-01,11.758,33.945,14.794,-2.971,-24.258,NA,FALSE
Belgium,2020-01-01,0,0,0,0,0,NA,TRUE
Benin,2020-01-01,49.916,49.916,49.916,-9.051,-41.086,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-01,-0.1,0.209,0.017,-0.1,-0.149,NA,FALSE
Burkina Faso,2020-01-01,95.224,95.224,95.224,-11.714,-126.405,NA,FALSE
Bangladesh,2020-01-01,69.835,1012.859,198.579,-55.324,-232.617,NA,FALSE
Bulgaria,2020-01-01,0,0,0,0,0,NA,TRUE
Bahrain,2020-01-01,-0.07,1.615,-0.023,-1.106,-3.254,NA,FALSE
Bahamas,2020-01-01,-0.489,0.934,0.033,-0.528,-1.355,NA,FALSE
Bosnia,2020-01-01,0,0,0,0,0,NA,TRUE
Belarus,2020-01-01,0,0,0,0,0,NA,TRUE
Belize,2020-01-01,0,0,0,0,0,NA,TRUE
Bermuda,2020-01-01,0,0,0,0,0,NA,TRUE
Bolivia,2020-01-01,0,0,0,0,0,NA,TRUE
