location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Aruba,2020-01-01,0,0.006,0,-0.018,-0.018,NA,TRUE
Afghanistan,2020-01-01,-0.024,0,-0.016,-0.024,-0.024,NA,FALSE
Angola,2020-01-01,0.033,0.033,0.033,0.016,-0.014,NA,FALSE
Anguilla,2020-01-01,-0.05,0.003,-0.002,-0.05,-0.05,NA,FALSE
Albania,2020-01-01,0,0.004,0,-0.013,-0.013,NA,TRUE
Andorra,2020-01-01,0,0.011,0,-0.035,-0.035,NA,TRUE
United Arab Emirates,2020-01-01,-0.006,0.003,-0.006,-0.009,-0.009,NA,FALSE
Argentina,2020-01-01,0,0.002,0.002,-0.021,-0.021,NA,TRUE
Armenia,2020-01-01,-0.027,0.003,-0.027,-0.027,-0.027,NA,FALSE
Antigua and Barbuda,2020-01-01,0,0,0,-0.048,-0.048,NA,TRUE
Australia,2020-01-01,0,0,0,-0.02,-0.02,NA,TRUE
Austria,2020-01-01,0,0,0,-0.027,-0.027,NA,TRUE
Azerbaijan,2020-01-01,0.014,0.014,0.014,-0.034,-0.034,NA,FALSE
Burundi,2020-01-01,0.034,0.034,0.034,0.006,-0.024,NA,FALSE
Belgium,2020-01-01,0,0,0,-0.031,-0.031,NA,TRUE
Benin,2020-01-01,0.019,0.028,0.028,0.019,-0.018,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-01,-0.059,0.006,-0.008,-0.059,-0.059,NA,FALSE
Burkina Faso,2020-01-01,0.024,0.024,0.024,0.015,-0.026,NA,FALSE
Bangladesh,2020-01-01,0.004,0.004,0.004,-0.002,-0.01,NA,FALSE
Bulgaria,2020-01-01,0,0,0,-0.022,-0.022,NA,TRUE
Bahrain,2020-01-01,-0.015,0.002,-0.015,-0.03,-0.03,NA,FALSE
Bahamas,2020-01-01,-0.048,-0.005,-0.026,-0.048,-0.048,NA,FALSE
Bosnia,2020-01-01,0,0.003,0.003,-0.035,-0.035,NA,TRUE
Belarus,2020-01-01,0,0.008,0.002,-0.012,-0.012,NA,TRUE
Belize,2020-01-01,0,0,0,-0.033,-0.033,NA,TRUE
Bermuda,2020-01-01,0,0.047,0.004,-0.004,-0.004,NA,TRUE
Bolivia,2020-01-01,0,0.008,0,-0.012,-0.012,NA,TRUE
Brazil,2020-01-01,0,0.009,0.009,-0.013,-0.013,NA,TRUE
Barbados,2020-01-01,0,0,0,-0.046,-0.046,NA,TRUE
Brunei,2020-01-01,0,0.003,0,-0.023,-0.023,NA,TRUE
Bhutan,2020-01-01,-0.032,-0.005,-0.024,-0.032,-0.032,NA,FALSE
Botswana,2020-01-01,-0.022,0.032,0.032,-0.022,-0.022,NA,FALSE
Central African Republic,2020-01-01,0.02,0.02,0.02,-0.019,-0.025,NA,FALSE
Canada,2020-01-01,0,0,0,-0.03,-0.03,NA,TRUE
Switzerland,2020-01-01,0,0,0,-0.03,-0.03,NA,TRUE
Chile,2020-01-01,0,0,0,-0.029,-0.029,NA,TRUE
China,2020-01-01,-0.07,-0.026,-0.026,-0.07,-0.07,NA,TRUE
Ivory Coast,2020-01-01,0.026,0.026,0.026,0.009,-0.016,NA,FALSE
Cameroon,2020-01-01,0.013,0.013,0.013,0.011,-0.015,NA,FALSE
Congo,2020-01-01,0.028,0.028,0.028,0.007,-0.024,NA,FALSE
Congo-Brazzaville,2020-01-01,0.028,0.028,0.028,-0.001,-0.011,NA,FALSE
Cook Islands,2020-01-01,-0.078,0.013,-0.015,-0.078,-0.078,NA,FALSE
Colombia,2020-01-01,0,0,0,-0.018,-0.018,NA,TRUE
Comoros,2020-01-01,0.027,0.027,0.027,0.004,-0.024,NA,FALSE
Cape Verde,2020-01-01,-0.022,0.006,0.006,-0.022,-0.035,NA,FALSE
Costa Rica,2020-01-01,0,0,0,-0.022,-0.022,NA,TRUE
Cuba,2020-01-01,0,0.005,0,-0.018,-0.018,NA,TRUE
Curaçao,2020-01-01,-0.004,0.037,-0.004,-0.029,-0.029,NA,FALSE
Cayman Islands,2020-01-01,-0.052,0.019,0.019,-0.052,-0.052,NA,FALSE
Cyprus,2020-01-01,0,0,0,-0.023,-0.023,NA,TRUE
Czech Republic,2020-01-01,0,0,0,-0.029,-0.029,NA,TRUE
Germany,2020-01-01,0,0,0,-0.027,-0.027,NA,TRUE
Djibouti,2020-01-01,0.001,0.001,0.001,-0.001,-0.017,NA,FALSE
Dominica,2020-01-01,-0.026,0.002,-0.023,-0.026,-0.026,NA,FALSE
Denmark,2020-01-01,0,0,0,-0.033,-0.033,NA,TRUE
Dominican Republic,2020-01-01,0,0,0,-0.031,-0.031,NA,TRUE
Algeria,2020-01-01,0,0.011,0.011,0,-0.005,NA,TRUE
Ecuador,2020-01-01,0,0.001,0,-0.009,-0.009,NA,TRUE
Egypt,2020-01-01,0,0.021,0.021,0,-0.002,NA,TRUE
Eritrea,2020-01-01,-0.005,0.002,-0.005,-0.025,-0.025,NA,FALSE
