location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Aruba,2020-01-01,0,0,0,0,0,NA,TRUE
Afghanistan,2020-01-01,-0.237,0.093,-0.017,-0.237,-0.298,NA,FALSE
Angola,2020-01-01,0.135,0.259,0.135,-0.008,-0.103,NA,FALSE
Anguilla,2020-01-01,-0.402,0.18,0.072,-0.402,-0.402,NA,FALSE
Albania,2020-01-01,0,0,0,0,0,NA,TRUE
Andorra,2020-01-01,0,0,0,0,0,NA,TRUE
United Arab Emirates,2020-01-01,-0.04,0.037,-0.023,-0.061,-0.175,NA,FALSE
Argentina,2020-01-01,0,0,0,0,0,NA,TRUE
Armenia,2020-01-01,-0.093,0.018,-0.015,-0.093,-0.153,NA,FALSE
Antigua and Barbuda,2020-01-01,0,0,0,0,0,NA,TRUE
Australia,2020-01-01,0,0,0,0,0,NA,TRUE
Austria,2020-01-01,0,0,0,0,0,NA,TRUE
Azerbaijan,2020-01-01,0.099,0.099,0.099,-0.054,-0.165,NA,FALSE
Burundi,2020-01-01,0.142,0.184,0.144,-0.047,-0.178,NA,FALSE
Belgium,2020-01-01,0,0,0,0,0,NA,TRUE
Benin,2020-01-01,0.125,0.146,0.125,-0.028,-0.129,NA,FALSE
"Caribbean Netherlands (Bonaire, Sint Eustatius and Saba)",2020-01-01,-0.498,0.293,0.104,-0.498,-0.498,NA,FALSE
Burkina Faso,2020-01-01,0.152,0.152,0.152,-0.061,-0.089,NA,FALSE
Bangladesh,2020-01-01,0.039,0.099,0.069,-0.065,-0.218,NA,FALSE
Bulgaria,2020-01-01,0,0,0,0,0,NA,TRUE
Bahrain,2020-01-01,-0.129,0.033,-0.015,-0.129,-0.156,NA,FALSE
Bahamas,2020-01-01,-0.28,0.046,-0.023,-0.28,-0.422,NA,FALSE
Bosnia,2020-01-01,0,0,0,0,0,NA,TRUE
Belarus,2020-01-01,0,0,0,0,0,NA,TRUE
Belize,2020-01-01,0,0,0,0,0,NA,TRUE
Bermuda,2020-01-01,0,0,0,0,0,NA,TRUE
Bolivia,2020-01-01,0,0,0,0,0,NA,TRUE
Brazil,2020-01-01,0,0,0,0,0,NA,TRUE
Barbados,2020-01-01,0,0,0,0,0,NA,TRUE
Brunei,2020-01-01,0,0,0,0,0,NA,TRUE
Bhutan,2020-01-01,-0.183,0.039,-0.038,-0.183,-0.22,NA,FALSE
Botswana,2020-01-01,-0.161,0.133,0.033,-0.161,-0.161,NA,FALSE
Central African Republic,2020-01-01,0.226,0.226,0.226,-0.062,-0.145,NA,FALSE
Canada,2020-01-01,0,0,0,0,0,NA,TRUE
Switzerland,2020-01-01,0,0,0,0,0,NA,TRUE
Chile,2020-01-01,0,0,0,0,0,NA,TRUE
China,2020-01-01,-0.489,-0.489,-0.489,-0.489,-0.489,NA,TRUE
Ivory Coast,2020-01-01,0.204,0.204,0.204,-0.039,-0.317,NA,FALSE
Cameroon,2020-01-01,0.007,0.198,0.117,-0.018,-0.08,NA,FALSE
Congo,2020-01-01,0.079,0.27,0.155,-0.015,-0.09,NA,FALSE
Congo-Brazzaville,2020-01-01,0.15,0.312,0.151,-0.029,-0.047,NA,FALSE
Cook Islands,2020-01-01,-0.545,0.173,0.072,-0.545,-0.545,NA,FALSE
Colombia,2020-01-01,0,0,0,0,0,NA,TRUE
Comoros,2020-01-01,0.172,0.271,0.172,-0.035,-0.124,NA,FALSE
Cape Verde,2020-01-01,-0.106,0.09,0.019,-0.161,-0.504,NA,FALSE
Costa Rica,2020-01-01,0,0,0,0,0,NA,TRUE
Cuba,2020-01-01,0,0,0,0,0,NA,TRUE
Curaçao,2020-01-01,-0.025,0.454,0.112,-0.077,-0.156,NA,FALSE
Cayman Islands,2020-01-01,-0.232,0.198,0.06,-0.232,-0.233,NA,FALSE
Cyprus,2020-01-01,0,0,0,0,0,NA,TRUE
Czech Republic,2020-01-01,0,0,0,0,0,NA,TRUE
Germany,2020-01-01,0,0,0,0,0,NA,TRUE
Djibouti,2020-01-01,0.026,0.243,0.09,-0.014,-0.14,NA,FALSE
Dominica,2020-01-01,-0.158,0.087,-0.068,-0.221,-0.369,NA,FALSE
Denmark,2020-01-01,0,0,0,0,0,NA,TRUE
Dominican Republic,2020-01-01,0,0,0,0,0,NA,TRUE
Algeria,2020-01-01,0,0,0,0,0,NA,TRUE
Ecuador,2020-01-01,0,0,0,0,0,NA,TRUE
Egypt,2020-01-01,0,0,0,0,0,NA,TRUE
Eritrea,2020-01-01,-0.024,0.346,0.035,-0.111,-0.24,NA,FALSE
