location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Africa,2020-01-01,339.396,339.396,339.396,128.541,-213.06,NA,FALSE
Oceania,2020-01-01,-2.38,1.57,-1.603,-2.38,-5.964,NA,FALSE
Europe,2020-01-01,-0.149,0.036,-0.039,-0.149,-0.149,NA,FALSE
Asia,2020-01-01,-366.444,-366.444,-366.444,-1083.03,-1210.12,NA,FALSE
Latin America and Caribbean,2020-01-01,1.577,4.011,1.577,-4.535,-4.535,0,FALSE
North America,2020-01-01,0,0,0,0,0,NA,FALSE
Africa,2020-01-06,339.274,339.274,339.274,138.814,-212.137,NA,FALSE
Oceania,2020-01-06,-2.381,1.476,-2.029,-2.381,-5.77,NA,FALSE
Europe,2020-01-06,-0.149,0.036,-0.039,-0.149,-0.149,NA,FALSE
Asia,2020-01-06,-339.348,-339.348,-339.348,-1075.016,-1199.885,NA,FALSE
Latin America and Caribbean,2020-01-06,1.255,4.309,1.255,-3.9,-3.9,0,FALSE
North America,2020-01-06,0,0,0,0,0,NA,FALSE
Africa,2020-01-13,338.93,338.93,338.93,125.531,-263.987,NA,FALSE
Oceania,2020-01-13,-2.443,2.194,-1.936,-2.443,-5.889,NA,FALSE
Europe,2020-01-13,-0.149,0.036,-0.039,-0.149,-0.149,NA,FALSE
Asia,2020-01-13,-587.66,-587.66,-587.66,-1340.803,-1429.082,NA,FALSE
Latin America and Caribbean,2020-01-13,6.139,10.685,6.139,4.459,2.727,0,FALSE
North America,2020-01-13,0,0,0,0,0,NA,FALSE
Africa,2020-01-20,340.59,340.59,340.59,116.329,-154.398,NA,FALSE
Oceania,2020-01-20,-5.574,0.69,-2.45,-5.574,-6.246,NA,FALSE
Europe,2020-01-20,-0.186,-0.012,-0.012,-0.186,-0.192,NA,FALSE
Asia,2020-01-20,-878.812,-878.812,-878.812,-1582.083,-1808.417,NA,FALSE
Latin America and Caribbean,2020-01-20,1.717,3.145,1.717,-3.209,-3.209,0,FALSE
North America,2020-01-20,0,0,0,0,0,NA,FALSE
