location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-01-01,-1.045,0.253,-0.273,-1.045,-1.045,NA,FALSE
Asia,2020-01-01,-2565.111,-2565.111,-2565.111,-7581.209,-8470.84,NA,FALSE
North America,2020-01-01,0,0,0,0,0,NA,FALSE
Latin America and Caribbean,2020-01-01,11.037,28.077,11.037,-31.745,-31.745,0,FALSE
Oceania,2020-01-01,-16.661,10.989,-11.22,-16.661,-41.749,NA,FALSE
Africa,2020-01-01,2375.77,2375.77,2375.77,899.787,-1491.422,NA,FALSE
Europe,2020-01-06,-2.09,0.507,-0.546,-2.09,-2.09,NA,FALSE
Asia,2020-01-06,-4940.546,-4940.546,-4940.546,-15106.319,-16783.751,NA,FALSE
North America,2020-01-06,0,0,0,0,0,NA,FALSE
Latin America and Caribbean,2020-01-06,19.821,53.293,19.821,-59.042,-59.042,0,FALSE
Oceania,2020-01-06,-33.331,21.322,-25.424,-33.331,-82.141,NA,FALSE
Africa,2020-01-06,4750.69,4750.69,4750.69,1871.485,-2976.384,NA,FALSE
Europe,2020-01-13,-3.136,0.76,-0.819,-3.136,-3.136,NA,FALSE
Asia,2020-01-13,-9054.167,-9054.167,-9054.167,-24491.94,-26787.328,NA,FALSE
North America,2020-01-13,0,0,0,0,0,NA,FALSE
Latin America and Caribbean,2020-01-13,62.795,92.347,62.795,-27.831,-27.831,0,FALSE
Oceania,2020-01-13,-50.432,33.957,-38.976,-50.432,-123.362,NA,FALSE
Africa,2020-01-13,7123.202,7123.202,7123.202,2750.205,-4824.296,NA,FALSE
Europe,2020-01-20,-4.434,-0.358,-0.904,-4.434,-4.434,NA,FALSE
Asia,2020-01-20,-15205.848,-15205.848,-15205.848,-35566.519,-38682.067,NA,FALSE
North America,2020-01-20,0,0,0,0,0,NA,FALSE
Latin America and Caribbean,2020-01-20,74.813,106.598,74.813,-50.297,-50.297,0,FALSE
Oceania,2020-01-20,-89.448,25.73,-56.129,-89.448,-167.087,NA,FALSE
Africa,2020-01-20,9507.329,9507.329,9507.329,3564.506,-6639.146,NA,FALSE
Europe,2020-01-27,-6219.919,-6215.758,-6215.758,-6219.919,-6219.919,NA,FALSE
Asia,2020-01-27,-16481.628,-16481.628,-16481.628,-35795.867,-48732.296,82,FALSE
North America,2020-01-27,-1365.265,-1365.265,-1365.265,-1365.265,-1365.265,0,FALSE
Latin America and Caribbean,2020-01-27,-528.094,-500.022,-528.094,-708.005,-708.005,0,FALSE
Oceania,2020-01-27,-255.353,-111.856,-205.581,-255.353,-335.814,NA,FALSE
Africa,2020-01-27,11700.587,11700.587,11700.587,4693.534,-8276.753,NA,FALSE
Europe,2020-02-03,-13275.506,-13270.684,-13270.684,-13275.506,-13277.685,NA,FALSE
Asia,2020-02-03,-7568.771,-7568.771,-7568.771,-29313.755,-50719.498,426,FALSE
North America,2020-02-03,-2267.031,-2267.031,-2267.031,-2267.031,-2267.031,0,FALSE
Latin America and Caribbean,2020-02-03,-181.641,-181.641,-181.641,-394.235,-394.235,0,FALSE
Oceania,2020-02-03,-395.529,-192.8,-346.051,-395.529,-489.683,NA,FALSE
Africa,2020-02-03,14929.16,14929.16,14929.16,6532.731,-9434.988,NA,FALSE
Europe,2020-02-10,-19503.911,-19498.593,-19498.593,-19503.911,-19508.674,NA,FALSE
Asia,2020-02-10,-8926.113,-8926.113,-8926.113,-34662.927,-64097.477,1013,FALSE
North America,2020-02-10,-3577.796,-3577.796,-3577.796,-3577.796,-3577.796,0,FALSE
Latin America and Caribbean,2020-02-10,-298.431,-298.431,-298.431,-517.869,-517.869,0,FALSE
Oceania,2020-02-10,-430.163,-153.881,-289.664,-430.163,-525.711,NA,FALSE
Africa,2020-02-10,16198.923,16198.923,16198.923,8418.208,-12281.6,NA,FALSE
Europe,2020-02-17,-28467.479,-28461.574,-28462.104,-28467.479,-28475.202,1,FALSE
Asia,2020-02-17,-14010.212,-14010.212,-14010.212,-47716.132,-82703.317,1867,FALSE
North America,2020-02-17,-4226.062,-4226.062,-4226.062,-4226.062,-4226.062,0,FALSE
Latin America and Caribbean,2020-02-17,-643.064,-643.064,-643.064,-852.206,-963.335,0,FALSE
Oceania,2020-02-17,-491.868,-190.124,-343.237,-491.868,-584.391,NA,FALSE
Africa,2020-02-17,17702.138,17702.138,17702.138,10550.871,-15007.441,NA,FALSE
Europe,2020-02-24,-36920.313,-36913.643,-36915.012,-36920.313,-36930.984,8,FALSE
Asia,2020-02-24,-17969.102,-17969.102,-17969.102,-59510.487,-98480.406,2619,FALSE
Latin America and Caribbean,2020-02-24,-1468.062,-1468.062,-1468.062,-1780.559,-2012.294,0,FALSE
North America,2020-02-24,-4128.472,-4128.472,-4128.472,-4128.472,-4128.472,0,FALSE
Oceania,2020-02-24,-522.334,-193.262,-352.016,-522.334,-621.372,NA,FALSE
