location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-01-01,-0,0.001,0.001,-0,-0.001,0,FALSE
Oceania,2020-01-01,0.001,0.025,0.005,-0.005,-0.012,NA,FALSE
Asia,2020-01-01,-0.009,-0.004,-0.009,-0.021,-0.03,NA,FALSE
Europe,2020-01-01,-0,0,-0,-0,-0,NA,FALSE
North America,2020-01-01,0,0,0,0,0,NA,FALSE
Africa,2020-01-01,0.037,0.037,0.037,-0.002,-0.018,NA,FALSE
Latin America and Caribbean,2020-01-06,0,0.003,0.002,-0,-0.001,0,FALSE
Oceania,2020-01-06,0.001,0.027,0.005,-0.004,-0.011,NA,FALSE
Asia,2020-01-06,-0.009,-0.005,-0.009,-0.021,-0.03,NA,FALSE
Europe,2020-01-06,-0,0,-0,-0,-0,NA,FALSE
North America,2020-01-06,0,0,0,0,0,NA,FALSE
Africa,2020-01-06,0.037,0.037,0.037,-0.003,-0.018,NA,FALSE
Latin America and Caribbean,2020-01-13,0.001,0.009,0.004,0,-0.002,0,FALSE
Oceania,2020-01-13,0.001,0.028,0.006,-0.004,-0.012,NA,FALSE
Asia,2020-01-13,-0.017,-0.01,-0.017,-0.027,-0.035,NA,FALSE
Europe,2020-01-13,-0,0,-0,-0,-0,NA,FALSE
North America,2020-01-13,0,0,0,0,0,NA,FALSE
Africa,2020-01-13,0.037,0.037,0.037,-0.003,-0.019,NA,FALSE
Latin America and Caribbean,2020-01-20,0,0.003,0.001,-0,-0.001,0,FALSE
Oceania,2020-01-20,0.001,0.03,0.005,-0.004,-0.012,NA,FALSE
Asia,2020-01-20,-0.024,-0.013,-0.024,-0.034,-0.044,NA,FALSE
Europe,2020-01-20,-0,0,-0,-0,-0,NA,FALSE
North America,2020-01-20,0,0,0,0,0,NA,FALSE
Africa,2020-01-20,0.04,0.04,0.04,-0.007,-0.031,NA,FALSE
Latin America and Caribbean,2020-01-27,-0.014,-0.01,-0.012,-0.014,-0.015,0,FALSE
Oceania,2020-01-27,-0.012,0.02,-0.003,-0.019,-0.024,0,FALSE
Asia,2020-01-27,-0.011,0.019,0.001,-0.02,-0.047,0,FALSE
Europe,2020-01-27,-0.119,-0.119,-0.119,-0.119,-0.119,0,FALSE
North America,2020-01-27,-0.036,-0.036,-0.036,-0.036,-0.036,0,FALSE
Africa,2020-01-27,0.038,0.046,0.038,-0.008,-0.029,NA,FALSE
Latin America and Caribbean,2020-02-03,0.007,0.01,0.008,0.006,0.005,0,FALSE
Oceania,2020-02-03,-0.01,0.018,0,-0.015,-0.024,0,FALSE
Europe,2020-02-03,-0.135,-0.135,-0.135,-0.135,-0.135,0,FALSE
North America,2020-02-03,-0.026,-0.026,-0.026,-0.026,-0.026,0,FALSE
Asia,2020-02-03,0.023,0.045,0.033,0.009,-0.009,0.001,FALSE
Africa,2020-02-03,0.047,0.056,0.047,0.001,-0.021,NA,FALSE
Latin America and Caribbean,2020-02-10,-0.001,0.001,-0.001,-0.004,-0.006,0,FALSE
Oceania,2020-02-10,0.024,0.056,0.035,0.019,0.008,0,FALSE
Europe,2020-02-10,-0.119,-0.119,-0.119,-0.119,-0.119,0,FALSE
North America,2020-02-10,-0.027,-0.027,-0.027,-0.027,-0.027,0,FALSE
Asia,2020-02-10,-0.008,0.021,-0,-0.026,-0.047,0.002,FALSE
Africa,2020-02-10,0.04,0.04,0.04,-0.016,-0.053,NA,FALSE
Latin America and Caribbean,2020-02-17,-0.006,-0.004,-0.006,-0.009,-0.011,0,FALSE
Oceania,2020-02-17,0.016,0.046,0.024,0.009,0.001,0,FALSE
Europe,2020-02-17,-0.171,-0.171,-0.171,-0.171,-0.171,0,FALSE
North America,2020-02-17,-0.003,-0.003,-0.003,-0.003,-0.003,0,FALSE
Asia,2020-02-17,-0.02,0.007,-0.014,-0.045,-0.068,0.003,FALSE
Africa,2020-02-17,0.047,0.049,0.047,-0.012,-0.033,0,FALSE
Latin America and Caribbean,2020-02-24,-0.017,-0.015,-0.017,-0.02,-0.023,0,FALSE
Oceania,2020-02-24,0.029,0.062,0.039,0.023,0.014,0,FALSE
Europe,2020-02-24,-0.163,-0.162,-0.162,-0.163,-0.163,0,FALSE
North America,2020-02-24,0.035,0.035,0.035,0.035,0.035,0,FALSE
Asia,2020-02-24,-0.018,0.009,-0.014,-0.047,-0.078,0.002,FALSE
Africa,2020-02-24,-0.053,0.011,-0.022,-0.073,-0.13,0,FALSE
