location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Oceania,2020-01-01,0.007,0.178,0.034,-0.035,-0.087,NA,FALSE
Europe,2020-01-01,-0,0,-0,-0,-0,NA,FALSE
Asia,2020-01-01,-0.061,-0.027,-0.061,-0.148,-0.208,NA,FALSE
Africa,2020-01-01,0.258,0.258,0.258,-0.014,-0.127,NA,FALSE
Latin America and Caribbean,2020-01-01,-0.002,0.008,0.004,-0.003,-0.009,0,FALSE
North America,2020-01-01,0,0,0,0,0,NA,FALSE
Oceania,2020-01-06,0.014,0.37,0.068,-0.056,-0.157,NA,FALSE
Europe,2020-01-06,-0,0.001,-0,-0,-0,NA,FALSE
Asia,2020-01-06,-0.122,-0.065,-0.122,-0.298,-0.415,NA,FALSE
Africa,2020-01-06,0.517,0.517,0.517,-0.045,-0.254,NA,FALSE
Latin America and Caribbean,2020-01-06,0.001,0.031,0.015,-0.002,-0.013,0,FALSE
North America,2020-01-06,0,0,0,0,0,NA,FALSE
Oceania,2020-01-13,0.021,0.569,0.11,-0.083,-0.252,NA,FALSE
Europe,2020-01-13,-0,0.001,-0,-0,-0.001,NA,FALSE
Asia,2020-01-13,-0.239,-0.139,-0.239,-0.487,-0.659,NA,FALSE
Africa,2020-01-13,0.776,0.776,0.776,-0.07,-0.385,NA,FALSE
Latin America and Caribbean,2020-01-13,0.008,0.082,0.045,0.003,-0.027,0,FALSE
North America,2020-01-13,0,0,0,0,0,NA,FALSE
Oceania,2020-01-20,0.031,0.725,0.146,-0.106,-0.335,NA,FALSE
Europe,2020-01-20,-0.001,0.001,-0,-0.001,-0.001,NA,FALSE
Asia,2020-01-20,-0.41,-0.258,-0.41,-0.713,-0.964,NA,FALSE
Africa,2020-01-20,1.054,1.054,1.054,-0.108,-0.511,NA,FALSE
Latin America and Caribbean,2020-01-20,0.01,0.097,0.053,0.004,-0.035,0,FALSE
North America,2020-01-20,0,0,0,0,0,NA,FALSE
Oceania,2020-01-27,-0.051,0.729,0.125,-0.228,-0.479,NA,FALSE
Europe,2020-01-27,-0.832,-0.83,-0.832,-0.832,-0.833,NA,FALSE
Asia,2020-01-27,-0.49,-0.197,-0.49,-0.86,-1.184,0.002,FALSE
Africa,2020-01-27,1.322,1.322,1.322,-0.136,-0.656,NA,FALSE
Latin America and Caribbean,2020-01-27,-0.085,0.02,-0.036,-0.094,-0.138,0,FALSE
North America,2020-01-27,-0.25,-0.25,-0.25,-0.25,-0.25,0,FALSE
Oceania,2020-02-03,-0.119,0.843,0.131,-0.346,-0.59,NA,FALSE
Europe,2020-02-03,-1.776,-1.773,-1.775,-1.776,-1.777,NA,FALSE
Asia,2020-02-03,-0.331,0.086,-0.3,-0.77,-1.245,0.009,FALSE
Africa,2020-02-03,1.654,1.654,1.654,-0.097,-0.737,NA,FALSE
Latin America and Caribbean,2020-02-03,-0.034,0.082,0.021,-0.048,-0.104,0,FALSE
North America,2020-02-03,-0.431,-0.431,-0.431,-0.431,-0.431,0,FALSE
Oceania,2020-02-10,0.05,1.228,0.387,-0.216,-0.497,NA,FALSE
Europe,2020-02-10,-2.609,-2.605,-2.608,-2.609,-2.61,NA,FALSE
Asia,2020-02-10,-0.387,0.19,-0.334,-0.97,-1.515,0.022,FALSE
Africa,2020-02-10,1.936,1.936,1.936,-0.213,-0.926,NA,FALSE
Latin America and Caribbean,2020-02-10,-0.043,0.094,0.008,-0.079,-0.134,0,FALSE
North America,2020-02-10,-0.619,-0.619,-0.619,-0.619,-0.619,0,FALSE
Oceania,2020-02-17,0.161,1.57,0.548,-0.165,-0.504,NA,FALSE
Europe,2020-02-17,-3.807,-3.803,-3.807,-3.808,-3.809,0,FALSE
Asia,2020-02-17,-0.527,0.21,-0.379,-1.25,-1.915,0.04,FALSE
Africa,2020-02-17,2.265,2.265,2.265,-0.213,-1.104,NA,FALSE
Latin America and Caribbean,2020-02-17,-0.086,0.067,-0.037,-0.143,-0.207,0,FALSE
North America,2020-02-17,-0.643,-0.643,-0.643,-0.643,-0.643,0,FALSE
Oceania,2020-02-24,0.363,1.998,0.846,0.014,-0.37,NA,FALSE
Europe,2020-02-24,-4.945,-4.94,-4.944,-4.946,-4.947,0.001,FALSE
Asia,2020-02-24,-0.656,0.264,-0.539,-1.559,-2.295,0.056,FALSE
Africa,2020-02-24,1.894,1.894,1.894,-0.531,-1.671,NA,FALSE
Latin America and Caribbean,2020-02-24,-0.207,-0.063,-0.166,-0.286,-0.355,0,FALSE
North America,2020-02-24,-0.401,-0.401,-0.401,-0.401,-0.401,0,FALSE
Oceania,2020-03-02,0.295,2.065,0.866,-0.056,-0.496,0.002,FALSE
Europe,2020-03-02,-5.733,-5.727,-5.732,-5.734,-5.735,0.007,FALSE
Asia,2020-03-02,-1.198,-0.304,-1.198,-2.185,-3.335,0.064,FALSE
Africa,2020-03-02,1.837,2.08,1.837,-0.727,-1.916,NA,FALSE
Latin America and Caribbean,2020-03-02,-0.112,0.063,-0.067,-0.192,-0.283,0,FALSE
North America,2020-03-02,-0.085,-0.085,-0.085,-0.085,-0.085,0.002,FALSE
Oceania,2020-03-09,0.253,2.334,0.887,-0.077,-0.578,0.007,FALSE
Europe,2020-03-09,-5.273,-5.267,-5.272,-5.275,-5.276,0.07,FALSE
Asia,2020-03-09,-1.386,-0.544,-1.386,-2.497,-4.224,0.073,FALSE
Latin America and Caribbean,2020-03-09,-0.02,0.189,0.037,-0.115,-0.257,0,FALSE
Africa,2020-03-09,1.784,2.262,1.784,-1.174,-2.789,0,FALSE
North America,2020-03-09,0.166,0.166,0.166,0.166,0.166,0.006,FALSE
Oceania,2020-03-16,0.429,2.684,1.112,0.098,-0.485,0.007,FALSE
Europe,2020-03-16,-3.082,-3.074,-3.08,-3.083,-3.085,0.378,FALSE
Asia,2020-03-16,-1.519,-0.752,-1.519,-2.868,-5.015,0.09,FALSE
Latin America and Caribbean,2020-03-16,-0.034,0.19,0.027,-0.154,-0.337,0.002,FALSE
Africa,2020-03-16,1.715,2.705,1.715,-1.58,-4.095,0.001,FALSE
North America,2020-03-16,0.705,0.705,0.705,0.705,0.705,0.027,FALSE
Oceania,2020-03-23,0.739,3.157,1.468,0.372,-0.269,0.016,FALSE
Europe,2020-03-23,1.036,1.044,1.037,1.034,1.032,1.394,FALSE
Asia,2020-03-23,-1.531,-0.883,-1.531,-3.105,-5.756,0.116,FALSE
Latin America and Caribbean,2020-03-23,0.346,0.65,0.439,0.212,-0.006,0.018,FALSE
Africa,2020-03-23,1.406,2.985,1.406,-2.126,-5.515,0.004,FALSE
North America,2020-03-23,2.538,2.538,2.538,2.538,2.538,0.221,FALSE
Oceania,2020-03-30,1.273,3.716,2.041,0.853,0.153,0.042,FALSE
Europe,2020-03-30,6.732,6.741,6.733,6.73,6.728,3.73,FALSE
Asia,2020-03-30,-1.725,-1.359,-1.725,-3.808,-6.758,0.147,FALSE
Latin America and Caribbean,2020-03-30,1.239,1.614,1.328,1.076,0.821,0.076,FALSE
Africa,2020-03-30,1.066,2.968,1.066,-2.992,-6.955,0.013,FALSE
North America,2020-03-30,7.011,7.011,7.011,7.011,7.011,1.187,FALSE
Oceania,2020-04-06,1.583,4.054,2.411,1.136,0.386,0.095,FALSE
Europe,2020-04-06,12.346,12.357,12.348,12.345,12.342,7.181,FALSE
Asia,2020-04-06,-1.86,-1.73,-1.86,-4.27,-7.684,0.191,FALSE
Latin America and Caribbean,2020-04-06,2.196,2.605,2.292,2.016,1.685,0.245,FALSE
Africa,2020-04-06,0.661,2.659,0.661,-3.845,-8.484,0.035,FALSE
North America,2020-04-06,13.544,13.544,13.544,13.544,13.544,4.055,FALSE
Oceania,2020-04-13,1.562,4.064,2.444,1.047,0.288,0.153,FALSE
Europe,2020-04-13,17.105,17.117,17.107,17.104,17.101,10.916,FALSE
Asia,2020-04-13,-2.07,-2.07,-2.07,-4.728,-8.502,0.243,FALSE
Latin America and Caribbean,2020-04-13,3.158,3.602,3.262,2.935,2.54,0.56,FALSE
Africa,2020-04-13,0.304,2.212,0.304,-4.715,-10.032,0.061,FALSE
North America,2020-04-13,19.839,19.839,19.839,19.839,19.839,8.324,FALSE
Oceania,2020-04-20,1.6,4.223,2.591,1.052,0.252,0.183,FALSE
Europe,2020-04-20,20.49,20.502,20.492,20.489,20.486,14.292,FALSE
Asia,2020-04-20,-2.287,-2.287,-2.287,-5.337,-9.416,0.324,FALSE
Latin America and Caribbean,2020-04-20,4.396,4.913,4.499,4.123,3.674,1.041,FALSE
Africa,2020-04-20,-0.066,1.955,-0.066,-5.5,-11.566,0.084,FALSE
North America,2020-04-20,25.533,25.533,25.533,25.533,25.533,12.796,FALSE
Oceania,2020-04-27,1.176,3.889,2.17,0.594,-0.168,0.236,FALSE
Europe,2020-04-27,22.633,22.646,22.635,22.632,22.629,16.982,FALSE
Asia,2020-04-27,-2.502,-2.502,-2.502,-5.863,-10.432,0.377,FALSE
Latin America and Caribbean,2020-04-27,5.92,6.502,6.055,5.602,5.098,1.811,FALSE
Africa,2020-04-27,-0.399,2.564,-0.399,-6.27,-13.241,0.106,FALSE
North America,2020-04-27,29.986,29.986,29.986,29.986,29.986,16.952,FALSE
