iso3c,date,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,demography_adjusted_ifr_percent,aged_65_older_pct,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_top_95,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65_bot_95
ABW,2021-12-14,308.4430773061697,370.2280391201698,250.21518454916958,0.598942585166585,13.085,51.497937355778745,61.81361090181918,41.776155302027284,2357.2264219042386,2829.4080177315227,1912.2291520761905
AFG,2021-12-14,189.98228528800044,312.8267413800001,102.35505913300017,0.133977584914315,2.581,141.8015449446287,233.4918498344836,76.3971519552775,7360.801444711369,12120.369677644328,3965.71325583108
AGO,2021-12-14,114.07904110699982,169.31229903300002,0,0.121039008405945,2.405,94.2498146749496,139.88242407369557,-30.59165199190548,4743.4112726403255,7040.012433804575,0
AIA,2021-12-14,373.7013160639997,575.7763119440001,0,NA,NA,NA,NA,NA,NA,NA,NA
ALB,2021-12-14,460.1367296411885,481.2859955351886,428.3383224701885,0.616849351969257,13.188,74.59466856408744,78.02326354055653,69.43969724580926,3489.0561847223876,3649.4236846768927,3247.9399641354903
AND,2021-12-14,226.50795941409748,439.86263127609743,153.3737557740975,NA,NA,NA,NA,NA,NA,NA,NA
ARE,2021-12-14,164.47070457700002,354.536875059,57.64022798100007,0.146881907898462,1.144,111.97478772586274,241.37545605963112,39.24256486431685,14376.809840646856,30990.985582080422,5038.481466870637
ARG,2021-12-14,298.75167197345445,387.26917543245423,284.7186800194544,0.509096118338698,11.198,58.68276366913824,76.06995250645515,55.926311312009084,2667.902053701147,3458.3780624437773,2542.585104656674
ARM,2021-12-14,494.7122042029997,614.2178616400004,349.9420511180001,0.548929702336841,11.232,90.12305256883846,111.8937195464596,63.74988448033814,4404.48899753383,5468.463867877496,3115.5809394408843
ATG,2021-12-14,93.34281254080591,202.43062948380575,16.879824574805784,0.430378985218555,6.933,21.688515412388124,47.03543538051874,3.9220838271724334,1346.355294112302,2919.812916252787,243.4707136132379
AUS,2021-12-14,-4.5021328305680015,14.726112705432007,0,0.728000179436322,15.504,0,2.0228171807367112,-1.641824886887058,-29.038524448968023,94.98266708869974,0
AUT,2021-12-14,184.34167753354967,191.97304333954975,176.9548782245497,0.891979703805717,19.202,20.666577585458302,21.522131335553752,19.838442227951457,960.0129024765631,999.7554595331201,921.5439965865518
AZE,2021-12-14,376.63991637499964,454.8667269269996,198.6613275749997,0.340820293546493,6.018,110.50982688142668,133.462336468808,58.289172134610375,6258.556270771014,7558.436805034889,3301.1187699401744
BDI,2021-12-14,221.85828680600014,221.85828680600014,0,0.124119136975985,2.562,178.74623705200756,178.74623705200756,-59.736815786388775,8659.574036143644,8659.574036143644,0
