location,official_covid_deaths_absolute,estimate_absolute,estimate_top_95_absolute,estimate_bot_95_absolute,difference_pct,vaccinated_per_100,official_covid_deaths_per_100k,estimate_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k
Afghanistan,7329,75680.256,124615.871,40773.576,932.6,NA,18.398,189.982,312.827,102.355
Africa,224684,2549836.263,2681181.116,533527.098,1034.9,12.625901858900871,16.359,185.89,195.465,38.896
Albania,3144,13219.425,13827.029,12305.877,320.5,38.58675486453918,109.435,460.137,481.286,428.338
Algeria,6155,48263.461,100231.728,20557.368,684.1,NA,13.795,108.174,224.651,46.076
Americas,NA,3282002.835,3421648.931,3197418.798,NA,NA,NA,319.639,333.24,311.402
Andorra,134,175.213,340.251,118.641,30.8,NA,173.23,226.508,439.863,153.374
Angola,1737,38711.138,57453.777,-12564.881,2128.6,NA,5.119,114.079,169.312,-37.028
Anguilla,NA,56.522,87.086,-8.66,NA,NA,NA,373.701,575.776,-57.257
Antigua and Barbuda,117,92.155,199.856,16.665,-21.2,NA,118.507,93.343,202.431,16.88
Argentina,116826,136248.159,176617.295,129848.297,16.6,82.0678732187335,256.165,298.752,387.269,284.719
Armenia,7845,14683.691,18230.772,10386.728,87.2,NA,264.308,494.712,614.218,349.942
Aruba,NA,330.636,396.866,268.218,NA,78.37492420355427,NA,308.443,370.228,250.215
Asia,1239592,9632132.661,12851682.461,4769235.467,677,65.0843163103712,26.496,205.898,274.72,101.948
Australia,2117,-1161.02,3797.602,-3082.334,-154.8,78.52149297487298,8.209,-4.502,14.726,-11.952
Austria,13282,16670.151,17360.261,16002.157,25.5,71.87838380585713,146.875,184.342,191.973,176.955
Azerbaijan,8123,38505.194,46502.59,20309.831,374,50.12972272086316,79.455,376.64,454.867,198.661
Bahamas,708,825.163,1438.433,447.643,16.5,NA,178.376,207.895,362.404,112.781
Bahrain,1394,3574.976,7965.004,1938.052,156.5,68.27566286010084,79.735,204.484,455.587,110.854
Bangladesh,28034,352984.481,598474.902,186903.678,1159.1,52.42434353183223,16.857,212.253,359.869,112.387
Barbados,253,358.069,474.209,99.7,41.5,NA,87.936,124.456,164.823,34.653
Belarus,5305,60086.513,61458.949,42765.124,1032.6,NA,56.18,636.316,650.851,452.883
Belgium,27685,22673.27,23772.764,22233.629,-18.1,76.2967431987424,238,194.916,204.368,191.136
