location,iso3c,official_covid_deaths_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_demography_adjusted,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95
Aruba,ABW,NA,308.4430773061697,370.228,250.215,2357.2264219042386,217.55850217008822,51.497937355778745,61.81361090181918,41.776155302027284
Afghanistan,AFG,18.398,189.98228528800044,312.827,102.355,7360.801444711369,599.0556769376332,141.8015449446287,233.4918498344836,76.3971519552775
Angola,AGO,5.119,114.07904110699982,169.312,-37.028,4743.4112726403255,398.168345439364,94.2498146749496,139.88242407369557,0
Albania,ALB,109.435,460.1367296411885,481.286,428.338,3489.0561847223876,315.13309456569834,74.59466856408744,78.02326354055653,69.43969724580926
United Arab Emirates,ARE,21.529,164.47070457700002,354.537,57.64,14376.809840646856,473.0493753594705,111.97478772586274,241.37545605963112,39.24256486431685
Argentina,ARG,256.165,298.75167197345445,387.269,284.719,2667.902053701147,247.91156350316174,58.68276366913824,76.06995250645515,55.926311312009084
Armenia,ARM,264.308,494.7122042029997,614.218,349.942,4404.48899753383,380.7344009220294,90.12305256883846,111.8937195464596,63.74988448033814
Antigua and Barbuda,ATG,118.507,93.34281254080591,202.431,16.88,1346.355294112302,91.62543530265401,21.688515412388124,47.03543538051874,3.9220838271724334
Australia,AUS,8.209,-4.5021328305680015,14.726,-11.952,-29.038524448968023,-2.612600727387524,0,2.0228171807367112,0
Austria,AUT,146.875,184.34167753354967,191.973,176.955,960.0129024765631,87.308150487889307,20.666577585458302,21.522131335553752,19.838442227951457
Azerbaijan,AZE,79.455,376.63991637499964,454.867,198.661,6258.556270771014,466.8604927863402,110.50982688142668,133.462336468808,58.289172134610375
Burundi,BDI,0.31,221.85828680600014,221.858,-74.145,8659.574036143644,755.1324499254061,178.74623705200756,178.74623705200756,0
Belgium,BEL,238,194.91591125808358,204.368,191.136,1049.5714353458811,92.27175660652672,21.841505130953667,22.90066492633701,21.41799209309809
Benin,BEN,1.293,101.43973854900005,162.259,-41.945,3126.9956396115917,265.4639812906199,62.83756940021601,100.51240094541023,0
Burkina Faso,BFA,1.377,183.4733648060003,213.769,-28.596,7616.162922623508,617.8245167342691,146.24428805255897,170.39288473806275,0
Bangladesh,BGD,16.857,212.2531958730003,359.869,112.387,4163.460099509618,326.33449790106727,77.24613546383037,130.96857196180395,40.9014776182171
Bulgaria,BGR,431.572,859.8294468940353,865.372,825.639,4133.596687149827,420.34585421061666,99.49941855628312,100.14079954502259,95.5429579924384
Bahrain,BHR,79.735,204.48354650299964,455.587,110.854,8620.722871121403,461.6104035476135,109.26708635861861,243.44579263079535,59.23545816508553
Bahamas,BHS,178.376,207.89463429700012,362.404,112.781,2310.96747773455,240.05672984637056,56.823458114252375,99.05525640248608,30.826191714399112
Bosnia,BIH,399.208,658.5648728463157,686.954,582.392,3974.6808669582692,382.01741347580185,90.42675249075279,94.32487751595022,79.96749393580987
Belarus,BLR,56.18,636.3164141637998,650.851,452.883,4299.725752846813,385.56309062876255,91.26604425864808,93.35065273187168,64.95640233607503
Belize,BLZ,144.722,194.6359394040105,327.05,134.5,5051.542678536477,311.09191419011233,73.63808699292628,123.73533399294969,50.88643687356859
Bolivia,BOL,163.358,411.65580105347084,434.742,406.306,6140.450493041032,492.3404609998079,116.54115084162996,123.07686163739436,115.0266220671905
Brazil,BRA,288.313,319.70549362221146,335.558,308.921,3738.371066676935,306.1413133481082,72.46623790639563,76.05941633131457,70.02175158643246
Barbados,BRB,87.936,124.45571447700001,164.823,34.653,832.368341873997,68.03840051699561,16.105264803084125,21.329009983281185,4.484313252795385
Brunei,BRN,22.195,53.307943380195745,151.977,7.933,1161.14013025911,79.00160900993383,18.700348969210076,53.31341421668232,2.782871733010054
Bhutan,BTN,0.385,90.66552881,257.22,-29.167,1855.9985426816786,126.19447139686037,29.871298606203727,84.74533908731574,0
Botswana,BWA,101.116,362.05442134900017,457.318,172.368,9186.866819309824,733.0407587187382,173.51694691397034,219.17266186990946,82.60862071911494
Central African Republic,CAF,2.053,90.18001092600014,155.5,-57.924,2467.30536049248,275.0860041610873,65.11518358709714,112.27987981593328,0
Canada,CAN,78.864,50.469747295654756,71.722,44.876,297.16054695981364,26.63958525267685,6.305815120264685,8.96115438706046,5.606962582936109
Switzerland,CHE,135.666,139.80774632943428,146.397,133.286,758.3409976645383,66.85892884732704,15.826073884082392,16.57196954885682,15.087853089619935
Chile,CHL,201.553,189.86932430438836,194.69,186.668,1712.540130823382,143.18951452094,33.894169040742604,34.75469063158504,33.32266793193411
China,CHN,0.321,67.60148268845847,182.666,4.183,635.2925729579783,57.461127971107956,13.601534939485113,36.75265802612495,0.8416465749996765
Ivory Coast,CIV,2.61,121.62764474700006,132.403,-36.82,4146.868215035802,362.7286624761873,85.8609420041887,93.46772698625665,0
Cameroon,CMR,6.744,155.48810432999997,210.837,-4.169,4912.736313744075,478.83179103410646,113.34353441793485,153.69027359990633,0
Congo-Brazzaville,COG,6.346,196.63520672300007,196.635,-102.393,5779.9884398295135,566.5773773858471,134.11365677176158,134.11365677176158,0
Congo,COG,1.21,196.63520672300007,217.981,-52.82,5779.9884398295135,566.5773773858471,134.11365677176158,134.11365677176158,0
Colombia,COL,252.029,305.66160215373435,326.696,292.85,3997.666782026345,309.62442901750717,73.29072084204945,78.33432168486075,70.21884599728116
Comoros,COM,16.996,177.80398690900037,214.022,-36.317,6000.809548059412,470.2186480725884,111.30473063759881,133.97709520937522,0
Cape Verde,CPV,62.467,220.07052742700057,293.858,79.351,4934.316758452927,350.9591877270433,83.07500779662558,110.92916053971986,29.954316486831136
Costa Rica,CRI,142.692,143.19319576828997,218.078,119.837,1512.3911678104137,127.07125007237222,30.078839533614108,45.808914934247696,25.172670560857604
Cuba,CUB,73.453,195.54724483858155,287.429,119.984,1326.8234824167564,115.43725476412722,27.32497445546135,40.1641438521665,16.766012554671722
Curaçao,CUW,NA,284.0263178029997,462.388,-11.401,1735.3596737520602,158.99531623598722,37.63553597634965,61.2697368916105,0
Cyprus,CYP,68.303,97.70287581363904,111.658,79.867,728.2563790521693,65.8324454224412,15.583096576442221,17.80890797292687,12.738346077665128
Czech Republic,CZE,323.529,390.189561404287,404.729,375.781,2050.7150964644293,202.21868132166475,47.866872032101426,49.650515906299205,46.09927716441971
Germany,DEU,127.157,123.92827563171652,130.408,115.325,577.6734052660072,51.22181998528089,12.124637973416055,12.75861028669299,11.282920715386611
Djibouti,DJI,18.859,520.1522874250008,550.679,78.244,12346.363337882764,954.31745658371506,225.8950126355079,239.1521632622267,33.98011771305735
Denmark,DNK,52.122,33.836427280442294,40.822,28.988,171.95927875409004,16.763455953186465,3.9680517926559076,4.787286407105017,3.399520256795668
Dominican Republic,DOM,38.526,62.66142117161547,137.91,33.207,897.5995010974857,72.94124635523531,17.2658098763597,38.00002237426002,9.149768501743628
Algeria,DZA,13.795,108.17371419800013,224.651,46.076,1741.6473063596864,144.60463443917436,34.22913989305697,71.08578096898427,14.579580404820394
Ecuador,ECU,187.612,372.7480109781543,377.915,370.461,5247.015920300595,440.40852344487354,104.24842203401309,105.69346294723067,103.60884132788637
Egypt,EGY,20.291,278.7606100840124,355.5,225.867,5403.3845722816905,480.22075981604036,113.67231507512675,144.9649999421252,92.10353815725341
