world,date,estimate,bin_min,bin_max,bin_n
World,2022-01-25,18264949.205428492,14057722.441573936,14241675.043550285,1
World,2022-01-25,18264949.205428492,14425627.645526633,14609580.247502983,1
World,2022-01-25,18264949.205428492,14977485.451455679,15161438.053432027,1
World,2022-01-25,18264949.205428492,15529343.257384725,15713295.859361073,1
World,2022-01-25,18264949.205428492,15897248.461337421,16081201.063313771,1
World,2022-01-25,18264949.205428492,17368869.27714821,17552821.87912456,1
World,2022-01-25,18264949.205428492,17552821.87912456,17736774.481100906,1
World,2022-01-25,18264949.205428492,17920727.083077256,18104679.685053606,2
World,2022-01-25,18264949.205428492,18104679.685053606,18288632.28702995,3
World,2022-01-25,18264949.205428492,18288632.28702995,18472584.8890063,1
World,2022-01-25,18264949.205428492,18656537.49098265,18840490.092958998,2
World,2022-01-25,18264949.205428492,19024442.694935348,19208395.296911694,1
World,2022-01-25,18264949.205428492,20312110.908769786,20496063.510746136,1
World,2022-01-25,18264949.205428492,21415826.52062788,21599779.122604225,1
World,2022-01-25,18264949.205428492,23071399.938415013,23255352.540391363,2
World,2022-01-25,18264949.205428492,14241675.043550285,14425627.645526633,0
World,2022-01-25,18264949.205428492,14609580.247502983,14793532.84947933,0
World,2022-01-25,18264949.205428492,14793532.84947933,14977485.451455679,0
World,2022-01-25,18264949.205428492,15161438.053432027,15345390.655408377,0
World,2022-01-25,18264949.205428492,15345390.655408377,15529343.257384725,0
World,2022-01-25,18264949.205428492,15713295.859361073,15897248.461337421,0
World,2022-01-25,18264949.205428492,16081201.063313771,16265153.66529012,0
World,2022-01-25,18264949.205428492,16265153.66529012,16449106.267266467,0
World,2022-01-25,18264949.205428492,16449106.267266467,16633058.869242815,0
World,2022-01-25,18264949.205428492,16633058.869242815,16817011.471219163,0
World,2022-01-25,18264949.205428492,16817011.471219163,17000964.073195513,0
World,2022-01-25,18264949.205428492,17000964.073195513,17184916.67517186,0
World,2022-01-25,18264949.205428492,17184916.67517186,17368869.27714821,0
World,2022-01-25,18264949.205428492,17736774.481100906,17920727.083077256,0
World,2022-01-25,18264949.205428492,18472584.8890063,18656537.49098265,0
World,2022-01-25,18264949.205428492,18840490.092958998,19024442.694935348,0
World,2022-01-25,18264949.205428492,19208395.296911694,19392347.898888044,0
World,2022-01-25,18264949.205428492,19392347.898888044,19576300.500864394,0
World,2022-01-25,18264949.205428492,19576300.500864394,19760253.10284074,0
World,2022-01-25,18264949.205428492,19760253.10284074,19944205.70481709,0
World,2022-01-25,18264949.205428492,19944205.70481709,20128158.306793436,0
World,2022-01-25,18264949.205428492,20128158.306793436,20312110.908769786,0
World,2022-01-25,18264949.205428492,20496063.510746136,20680016.112722483,0
World,2022-01-25,18264949.205428492,20680016.112722483,20863968.714698832,0
World,2022-01-25,18264949.205428492,20863968.714698832,21047921.31667518,0
World,2022-01-25,18264949.205428492,21047921.31667518,21231873.91865153,0
World,2022-01-25,18264949.205428492,21231873.91865153,21415826.52062788,0
World,2022-01-25,18264949.205428492,21599779.122604225,21783731.724580575,0
World,2022-01-25,18264949.205428492,21783731.724580575,21967684.32655692,0
World,2022-01-25,18264949.205428492,21967684.32655692,22151636.92853327,0
World,2022-01-25,18264949.205428492,22151636.92853327,22335589.53050962,0
World,2022-01-25,18264949.205428492,22335589.53050962,22519542.13248597,0
World,2022-01-25,18264949.205428492,22519542.13248597,22703494.734462317,0
World,2022-01-25,18264949.205428492,22703494.734462317,22887447.336438663,0
World,2022-01-25,18264949.205428492,22887447.336438663,23071399.938415013,0
