location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
World,2020-01-01,-430.469,-115.472,-422.04,-1074.76,-1474.574,NA,FALSE
World,2020-01-06,-433.433,-102.488,-433.433,-1072.026,-1465.421,NA,FALSE
World,2020-01-13,-696.498,-366.24,-696.498,-1342.873,-1728.362,NA,FALSE
World,2020-01-20,-1287.996,-563.6,-922.592,-1768.856,-2193.664,NA,FALSE
World,2020-01-27,-1447.856,-781.093,-1057.985,-2316.82,-3205.324,10.833,FALSE
World,2020-02-03,209.225,1466.344,741.528,-697.312,-1709.264,46.25,FALSE
World,2020-02-10,-1407.288,-508.953,-893.837,-2755.475,-3896.281,81.375,FALSE
World,2020-02-17,-2387.409,-1188.328,-1966.031,-3593.852,-4544.536,120.25,FALSE
World,2020-02-24,-2804.724,-1813.654,-2579.786,-3844.417,-5217.72,107.5,FALSE
World,2020-03-02,-4257.582,-3494.275,-4257.582,-5839.674,-6450.928,77,FALSE
World,2020-03-09,-1344.702,-548.125,-1308.146,-2640.051,-4031.775,124.75,FALSE
World,2020-03-16,1224.422,1616.714,1224.422,-906.495,-2322.82,421.25,FALSE
World,2020-03-23,4557.454,4705.148,4557.454,2552.605,1852.884,1300.25,FALSE
World,2020-03-30,5772.325,6614.531,5772.325,3279.302,1798.609,3126.375,FALSE
World,2020-04-06,6976.707,7149.966,6976.707,4212.126,2950.59,5506.875,FALSE
World,2020-04-13,6062.87,6308.784,6062.87,2841.098,1086.862,6825.625,FALSE
World,2020-04-20,4927.119,4927.119,4927.119,914.003,-856.013,6898.625,FALSE
World,2020-04-27,3754.264,3754.264,3754.264,-243.891,-2895.4,6182,FALSE
World,2020-05-04,7497.601,8582.52,7497.601,4294.443,2310.561,5560,FALSE
World,2020-05-11,7704.441,9268.432,8113.92,5414.981,3671.871,5216.5,FALSE
World,2020-05-18,8154.517,11876.371,8154.517,5359.898,3056.41,4846.625,FALSE
World,2020-05-25,13001.42,21439.099,13001.42,5745.061,2829.456,4340.25,FALSE
World,2020-06-01,15270.879,23496.021,16802.284,11426.885,9953.394,4106.625,FALSE
World,2020-06-08,18359.185,19484.092,18359.185,11323.052,9622.27,4602.25,FALSE
World,2020-06-15,18516.792,19920.113,18516.792,12709.298,10385.068,4599,FALSE
World,2020-06-22,21406.339,22461.263,21406.339,15017.781,12387.218,5142,FALSE
World,2020-06-29,23682.361,23846.457,23682.361,15971.474,12942.542,4666.75,FALSE
World,2020-07-06,22488.514,22765.467,22488.514,18119.7,14194.663,4766.5,FALSE
World,2020-07-13,23803.917,24382.711,23803.917,18651.553,16256.8,5193.75,FALSE
World,2020-07-20,24202.359,24562.444,24202.359,20232.913,17114.275,5594,FALSE
World,2020-07-27,24869.416,26713.814,24869.416,21070.724,17989.453,5807,FALSE
World,2020-08-03,21288.536,23868.29,21552.09,18551.012,15718.776,5959.25,FALSE
World,2020-08-10,23082.543,25571.855,23082.543,19059.286,17379.515,6183.375,FALSE
