location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
World,2020-01-01,674.519,992.705,674.519,-6883.845,-10766.975,NA,FALSE
World,2020-01-06,1376.052,1453.326,1376.052,-13809.142,-21452.697,NA,FALSE
World,2020-01-13,-473.592,490.583,-473.592,-22079.483,-33968.29,NA,FALSE
World,2020-01-20,-4644.071,-3087.016,-4644.071,-33826.812,-48432.594,NA,FALSE
World,2020-01-27,-12515.666,-5134.752,-12515.666,-46938.591,-70256.554,82,FALSE
World,2020-02-03,-7962.527,5876.999,-7962.527,-52371.585,-78703.413,426,FALSE
World,2020-02-10,-13663.81,5658.64,-13663.81,-65271.941,-96901.121,1013,FALSE
World,2020-02-17,-24993.455,-7334.878,-24993.455,-89462.517,-122856.991,1868,FALSE
World,2020-02-24,-44431.591,-17934.813,-44431.591,-116889.462,-162643.543,2630,FALSE
World,2020-03-02,-74685.544,-41483.872,-74685.544,-155137.378,-225443.869,3086,FALSE
World,2020-03-09,-79236.717,-39490.98,-79236.717,-169340.312,-268325.103,3995,FALSE
World,2020-03-16,-68061.004,-25809.011,-68061.004,-176632.75,-295821.581,7175,FALSE
World,2020-03-23,-32590.609,20084.367,-32590.609,-160419.715,-296150.202,16885,FALSE
World,2020-03-30,18979.228,59548.598,18979.228,-131093.6,-295729.195,39938,FALSE
World,2020-04-06,79738.236,109771.946,79738.236,-94273.173,-274694.801,79912,FALSE
World,2020-04-13,130275.716,151913.083,130275.716,-65349.852,-263862.359,128582,FALSE
World,2020-04-20,169621.391,188967.884,169621.391,-51743.025,-270895.46,177752,FALSE
World,2020-04-27,197340.624,210433.35,197340.624,-39205.744,-294456.345,221160,FALSE
World,2020-05-04,252665.138,274870.496,252665.138,-4801.652,-293935.286,260710,FALSE
World,2020-05-11,312449.045,343985.824,312449.045,32296.26,-273596.042,297890,FALSE
World,2020-05-18,374747.336,403662.479,374747.336,68885.898,-252161.963,332747,FALSE
World,2020-05-25,448264.757,528031.846,448264.757,118952.906,-233610.509,363203,FALSE
World,2020-06-01,577564.497,628176.24,577564.497,197383.026,-136858.021,394468,FALSE
World,2020-06-08,700233.892,744714.128,700233.892,295819.373,-70219.061,427565,FALSE
World,2020-06-15,814380.193,877632.939,814380.193,383242.579,-13095.73,460034,FALSE
World,2020-06-22,951284.162,1013670.007,951284.162,506287.288,57101.424,497252,FALSE
World,2020-06-29,1099644.899,1157174.142,1099644.899,624346.69,142279.132,530799,FALSE
World,2020-07-06,1247727.954,1311885.792,1247727.954,758065.86,233102.142,564898,FALSE
World,2020-07-13,1402258.761,1468831.488,1402258.761,903050.426,329139.157,602203,FALSE
World,2020-07-20,1572414.654,1628575.605,1572414.654,1023326.375,428756.956,642543,FALSE
World,2020-07-27,1743649.095,1813163.028,1743649.095,1149973.944,536234.844,685120,FALSE
World,2020-08-03,1897550.748,1980990.159,1897550.748,1286933.68,621705.7,727571,FALSE
World,2020-08-10,2054316.426,2148515.961,2054316.426,1427484.347,721159.664,772110,FALSE
World,2020-08-17,2207142.705,2313220.086,2207142.705,1576329.561,830106.315,814531,FALSE
World,2020-08-24,2348697.366,2465017.022,2348697.366,1714458.277,925617.378,855703,FALSE
World,2020-08-31,2484093.734,2604512.6,2484093.734,1805184.193,994947.288,895421,FALSE
