location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
World,2020-01-01,-0,-0,-0,-0.012,-0.018,NA,FALSE
World,2020-01-06,-0,-0,-0,-0.012,-0.018,NA,FALSE
World,2020-01-13,-0.003,-0.003,-0.003,-0.015,-0.021,NA,FALSE
World,2020-01-20,-0.007,-0.007,-0.007,-0.019,-0.024,NA,FALSE
World,2020-01-27,-0.013,-0.013,-0.013,-0.014,-0.035,0,FALSE
World,2020-02-03,0.008,0.008,0.008,0.001,-0.02,0.001,FALSE
World,2020-02-10,-0.014,-0.014,-0.014,-0.02,-0.043,0.001,FALSE
World,2020-02-17,-0.025,-0.025,-0.025,-0.038,-0.057,0.002,FALSE
World,2020-02-24,-0.032,-0.032,-0.032,-0.038,-0.059,0.001,FALSE
World,2020-03-02,-0.055,-0.04,-0.042,-0.055,-0.075,0.001,FALSE
World,2020-03-09,-0.017,-0.012,-0.012,-0.017,-0.033,0.002,FALSE
World,2020-03-16,0.017,0.017,0.017,0.014,-0.007,0.005,FALSE
World,2020-03-23,0.059,0.061,0.061,0.059,0.037,0.017,FALSE
World,2020-03-30,0.072,0.081,0.081,0.072,0.043,0.04,FALSE
World,2020-04-06,0.089,0.092,0.092,0.089,0.047,0.07,FALSE
World,2020-04-13,0.077,0.077,0.077,0.071,0.031,0.087,FALSE
World,2020-04-20,0.063,0.063,0.063,0.044,0.01,0.088,FALSE
World,2020-04-27,0.047,0.047,0.047,0.035,0.018,0.078,FALSE
World,2020-05-04,0.098,0.098,0.098,0.088,0.065,0.071,FALSE
World,2020-05-11,0.102,0.102,0.102,0.095,0.073,0.066,FALSE
World,2020-05-18,0.111,0.111,0.111,0.097,0.076,0.062,FALSE
World,2020-05-25,0.148,0.148,0.148,0.104,0.078,0.055,FALSE
World,2020-06-01,0.204,0.204,0.204,0.175,0.162,0.052,FALSE
World,2020-06-08,0.236,0.236,0.236,0.198,0.158,0.058,FALSE
World,2020-06-15,0.238,0.238,0.238,0.228,0.152,0.058,FALSE
World,2020-06-22,0.271,0.271,0.271,0.234,0.177,0.065,FALSE
World,2020-06-29,0.299,0.299,0.299,0.24,0.195,0.059,FALSE
World,2020-07-06,0.286,0.286,0.286,0.238,0.205,0.061,FALSE
World,2020-07-13,0.306,0.306,0.306,0.258,0.218,0.066,FALSE
World,2020-07-20,0.308,0.308,0.308,0.264,0.219,0.071,FALSE
World,2020-07-27,0.314,0.314,0.314,0.283,0.231,0.074,FALSE
World,2020-08-03,0.275,0.275,0.275,0.249,0.221,0.076,FALSE
World,2020-08-10,0.291,0.303,0.303,0.291,0.241,0.079,FALSE
World,2020-08-17,0.296,0.323,0.323,0.296,0.235,0.076,FALSE
World,2020-08-24,0.278,0.298,0.298,0.278,0.221,0.073,FALSE
World,2020-08-31,0.249,0.287,0.287,0.249,0.177,0.071,FALSE
World,2020-09-07,0.264,0.299,0.299,0.264,0.22,0.07,FALSE
World,2020-09-14,0.279,0.293,0.293,0.279,0.217,0.068,FALSE
World,2020-09-21,0.262,0.286,0.286,0.262,0.205,0.067,FALSE
World,2020-09-28,0.252,0.277,0.277,0.252,0.184,0.067,FALSE
World,2020-10-05,0.265,0.288,0.288,0.265,0.187,0.075,FALSE
World,2020-10-12,0.257,0.268,0.268,0.257,0.192,0.071,FALSE
World,2020-10-19,0.28,0.281,0.281,0.28,0.209,0.067,FALSE
World,2020-10-26,0.297,0.301,0.301,0.297,0.218,0.075,FALSE
World,2020-11-02,0.371,0.371,0.371,0.359,0.277,0.084,FALSE
World,2020-11-09,0.382,0.382,0.382,0.368,0.292,0.103,FALSE
World,2020-11-16,0.378,0.378,0.378,0.367,0.291,0.113,FALSE
World,2020-11-23,0.374,0.374,0.374,0.366,0.291,0.124,FALSE
World,2020-11-30,0.363,0.378,0.378,0.363,0.296,0.129,FALSE
World,2020-12-07,0.38,0.391,0.391,0.38,0.313,0.137,FALSE
World,2020-12-14,0.366,0.37,0.37,0.366,0.301,0.138,FALSE
World,2020-12-21,0.367,0.399,0.399,0.367,0.306,0.145,FALSE
World,2020-12-28,0.371,0.42,0.42,0.371,0.33,0.132,FALSE
World,2021-01-04,0.337,0.376,0.376,0.337,0.285,0.142,FALSE
World,2021-01-11,0.339,0.364,0.364,0.339,0.301,0.163,FALSE
World,2021-01-18,0.341,0.36,0.36,0.341,0.299,0.17,FALSE
World,2021-01-25,0.302,0.302,0.302,0.3,0.26,0.178,FALSE
World,2021-02-01,0.253,0.253,0.253,0.249,0.201,0.176,FALSE
World,2021-02-08,0.213,0.213,0.213,0.213,0.161,0.159,FALSE
World,2021-02-15,0.212,0.212,0.212,0.194,0.166,0.143,FALSE
World,2021-02-22,0.195,0.195,0.195,0.191,0.131,0.122,FALSE
World,2021-03-01,0.213,0.214,0.213,0.206,0.148,0.12,FALSE
World,2021-03-08,0.223,0.223,0.223,0.211,0.157,0.114,FALSE
World,2021-03-15,0.241,0.247,0.247,0.241,0.181,0.111,FALSE
World,2021-03-22,0.259,0.274,0.274,0.259,0.2,0.12,FALSE
World,2021-03-29,0.31,0.315,0.314,0.31,0.24,0.128,FALSE
World,2021-04-05,0.395,0.403,0.403,0.395,0.274,0.129,FALSE
World,2021-04-12,0.445,0.473,0.445,0.431,0.358,0.154,FALSE
World,2021-04-19,0.498,0.547,0.498,0.496,0.402,0.155,FALSE
World,2021-04-26,0.631,0.785,0.631,0.583,0.481,0.167,FALSE
World,2021-05-03,0.734,1.135,1.135,0.734,0.463,0.171,FALSE
World,2021-05-10,0.795,1.137,1.137,0.795,0.453,0.166,FALSE
World,2021-05-17,0.788,1.146,1.146,0.788,0.406,0.159,FALSE
World,2021-05-24,0.816,1.195,1.195,0.816,0.397,0.151,FALSE
World,2021-05-31,0.684,1.211,1.211,0.684,0.373,0.139,FALSE
World,2021-06-07,0.581,0.968,0.968,0.581,0.359,0.123,FALSE
World,2021-06-14,0.443,0.6,0.443,0.427,0.343,0.121,FALSE
World,2021-06-21,0.393,0.54,0.439,0.393,0.309,0.11,FALSE
World,2021-06-28,0.409,0.54,0.433,0.409,0.326,0.101,FALSE
World,2021-07-05,0.405,0.518,0.427,0.405,0.326,0.098,FALSE
World,2021-07-12,0.418,0.524,0.463,0.418,0.351,0.102,FALSE
World,2021-07-19,0.428,0.56,0.56,0.428,0.354,0.101,FALSE
World,2021-07-26,0.462,0.544,0.52,0.462,0.377,0.109,FALSE
World,2021-08-02,0.491,0.587,0.541,0.491,0.439,0.115,FALSE
World,2021-08-09,0.498,0.567,0.542,0.498,0.411,0.119,FALSE
World,2021-08-16,0.513,0.551,0.551,0.513,0.406,0.123,FALSE
World,2021-08-23,0.533,0.563,0.563,0.533,0.407,0.127,FALSE
World,2021-08-30,0.507,0.541,0.541,0.507,0.405,0.126,FALSE
World,2021-09-06,0.505,0.505,0.505,0.487,0.395,0.12,FALSE
World,2021-09-13,0.464,0.476,0.464,0.462,0.364,0.114,FALSE
World,2021-09-20,0.435,0.438,0.435,0.429,0.344,0.111,FALSE
World,2021-09-27,0.406,0.417,0.406,0.402,0.327,0.102,FALSE
World,2021-10-04,0.387,0.387,0.387,0.367,0.294,0.097,FALSE
World,2021-10-11,0.387,0.387,0.387,0.35,0.292,0.088,FALSE
World,2021-10-18,0.386,0.386,0.386,0.338,0.278,0.086,FALSE
World,2021-10-25,0.395,0.395,0.395,0.349,0.273,0.089,FALSE
World,2021-11-01,0.4,0.404,0.4,0.378,0.301,0.091,FALSE
World,2021-11-08,0.399,0.399,0.399,0.358,0.3,0.089,FALSE
World,2021-11-15,0.374,0.383,0.374,0.353,0.3,0.092,FALSE
World,2021-11-22,0.382,0.382,0.382,0.359,0.296,0.092,FALSE
World,2021-11-29,0.378,0.389,0.389,0.378,0.306,0.091,FALSE
World,2021-12-06,0.354,0.39,0.39,0.354,0.269,0.101,FALSE
