location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
World,2020-01-01,-0.038,-0.01,-0.038,-0.096,-0.131,NA,FALSE
World,2020-01-06,-0.077,-0.019,-0.077,-0.191,-0.262,NA,FALSE
World,2020-01-13,-0.139,-0.052,-0.139,-0.31,-0.415,NA,FALSE
World,2020-01-20,-0.253,-0.109,-0.242,-0.447,-0.61,NA,FALSE
World,2020-01-27,-0.382,-0.249,-0.367,-0.64,-0.896,0.001,FALSE
World,2020-02-03,-0.364,-0.167,-0.304,-0.72,-1.048,0.005,FALSE
World,2020-02-10,-0.489,-0.136,-0.349,-0.897,-1.331,0.013,FALSE
World,2020-02-17,-0.701,-0.201,-0.558,-1.146,-1.716,0.024,FALSE
World,2020-02-24,-0.951,-0.375,-0.74,-1.488,-2.115,0.033,FALSE
World,2020-03-02,-1.329,-0.948,-1.23,-1.931,-2.635,0.039,FALSE
World,2020-03-09,-1.449,-1.1,-1.307,-2.133,-2.912,0.051,FALSE
World,2020-03-16,-1.34,-1.019,-1.34,-2.14,-2.993,0.091,FALSE
World,2020-03-23,-0.935,-0.734,-0.935,-1.867,-2.69,0.214,FALSE
World,2020-03-30,-0.421,-0.146,-0.421,-1.446,-2.276,0.507,FALSE
World,2020-04-06,0.199,0.49,0.199,-0.959,-1.803,1.015,FALSE
World,2020-04-13,0.739,1.02,0.739,-0.743,-1.42,1.633,FALSE
World,2020-04-20,1.177,1.386,1.177,-0.762,-1.496,2.257,FALSE
World,2020-04-27,1.511,1.56,1.511,-0.582,-1.754,2.808,FALSE
World,2020-05-04,2.178,2.234,2.178,-0.126,-1.483,3.311,FALSE
World,2020-05-11,2.863,2.97,2.863,0.382,-1.031,3.783,FALSE
World,2020-05-18,3.589,3.806,3.589,0.868,-0.676,4.225,FALSE
World,2020-05-25,4.746,5.098,4.746,1.245,-0.246,4.614,FALSE
World,2020-06-01,6.104,6.524,6.104,2.232,0.787,5.011,FALSE
World,2020-06-08,7.737,8.022,7.737,3.371,1.949,5.433,FALSE
World,2020-06-15,9.385,9.436,9.385,4.54,3.159,5.845,FALSE
World,2020-06-22,11.289,11.434,11.289,5.876,4.553,6.317,FALSE
World,2020-06-29,13.396,13.556,13.396,7.193,6.182,6.742,FALSE
World,2020-07-06,15.396,15.396,15.396,8.456,8.092,7.175,FALSE
World,2020-07-13,17.514,17.614,17.514,10.119,9.814,7.65,FALSE
World,2020-07-20,19.667,20.373,19.667,12.067,11.336,8.162,FALSE
World,2020-07-27,21.879,23.253,21.879,13.892,12.967,8.702,FALSE
World,2020-08-03,23.773,25.542,23.773,15.571,14.496,9.241,FALSE
World,2020-08-10,25.827,27.817,25.827,17.422,16.101,9.808,FALSE
World,2020-08-17,27.914,30.109,27.914,19.168,17.542,10.346,FALSE
World,2020-08-24,29.861,32.414,29.861,20.978,18.826,10.869,FALSE
World,2020-08-31,31.574,34.593,31.574,22.373,19.961,11.373,FALSE
World,2020-09-07,33.408,36.905,33.408,23.841,21.162,11.929,FALSE
World,2020-09-14,35.36,39.367,35.36,25.645,22.365,12.398,FALSE
World,2020-09-21,37.175,41.737,37.175,27.349,23.405,12.877,FALSE
World,2020-09-28,38.935,44.048,38.935,28.971,24.404,13.356,FALSE
World,2020-10-05,40.786,46.149,40.786,30.485,25.572,13.902,FALSE
World,2020-10-12,42.595,48.294,42.595,31.994,26.841,14.376,FALSE
World,2020-10-19,44.489,50.632,44.489,33.735,28.487,14.863,FALSE
World,2020-10-26,46.505,53.026,46.505,35.641,30.172,15.399,FALSE
World,2020-11-02,49.049,55.879,49.049,38.071,32.349,16.002,FALSE
World,2020-11-09,51.679,58.784,51.679,40.631,34.59,16.743,FALSE
World,2020-11-16,54.285,61.554,54.285,43.006,36.788,17.552,FALSE
World,2020-11-23,56.861,64.435,56.861,45.275,38.827,18.446,FALSE
